0.30 агрн. инарҭбааны	0,30 грн. подробнее
Ацҳамҭа аспам еиԥш иалкаауп.	Сообщение помечено как спам.
Ацҳамҭа атекст:	Текст сообщения:
Ацҳамҭа атеқст	Текст сообщения
Ацҳамҭа ахархәаҩ изы	Сообщение для пользователя
ацҳамҭа ахәаԥшра	просмотр сообщения
Ацҳамҭа ахәаԥшра	Просмотр сообщения
Ацҳамҭа ахкы	Тип сообщения
Ацҳамҭа ацҵара...	Напишите что-нибудь...
Ацҳамҭа аҩра	Написать сообщение
Ацҳамҭа аҩра...	Написать сообщение...
ацҳамҭа аҩҩра даҿуп…	набирает сообщение…
Ацҳамҭа аҩҩра	Написать обещание
Ацҳамҭа аҩҩра	Написать сообщение
Ацҳамҭа дәықәҵоуп	Сообщение отправлено
Ацҳамҭа еиҭашьақәыргылоуп	Сообщение восстановлено
Ацҳамҭа зышьҭхаӡом, избанзар аҵыхәтәантәи аамҭазы {user} и(лы)ҭӡамцаҿы мыцхәы ирацәаны иааныжьын ажәеиларккақәа.	Сообщение не может быть отправлено, так как на стене {user} было оставлено слишком много комментариев за последнее время.
Ацҳамҭа зышьҭхаӡом, избанзар аҵыхәтәантәи аамҭазы аилазааратә гәыԥ аҭӡамцаҿы мыцхәы ирацәаны иааныжьын ажәеиларккақәа.	Сообщение не может быть отправлено, так как на стене сообщества было оставлено слишком много комментариев за последнее время.
Ацҳамҭа зышьҭхаӡом, избанзар аҵыхәтәантәи аамҭазы Шәара шәыҭӡамцаҿы мыцхәы ирацәаны иааныжьын ажәеиларккақәа.	Сообщение не может быть отправлено, так как на вашей стене было оставлено слишком много комментариев за последнее время.
Ацҳамҭа ианыхуп.	Сообщество удалено.
Ацҳамҭакәа аҭӡамц аҿы	Сообщения на стене
Ацҳамҭақәа: {community}	Сообщения: {community}
Ацҳамҭақәа	Cообщения
Ацҳамҭақәа {date} аҟынӡа	Сообщения до {date}
Ацҳамҭақәа азин аҭара	Разрешить сообщения
Ацҳамҭақәа азышьҭра	Отправка писем
Ацҳамҭақәа аҵәахра	Скрыть сообщения
Ацҳамҭақәа аҩызцәа рҟынтә	сообщения от друзей
Ацҳамҭақәа зегьы	Все сообщения
Ацҳамҭақәа зегьы рныхра	Удалить все сообщения
Ацҳамҭақәа зегьы рырбара	Показать все сообщения
Ацҳамҭақәа ирызку push-адыр.	Push-увед. о сообщениях
Ацҳамҭақәа	Мессенджер
Ацҳамҭақәа рвиджет алшамҭа ҿыцқәа	Новые возможности виджета сообщений
ацҳамҭақәа рдәықәҵара	отправка сообщений
Ацҳамҭақәа реиԥш арбара	Показать в виде сообщений
Ацҳамҭақәа рныхра	Удаление сообщений
Ацҳамҭақәа рсиа	Список сообщений
Ацҳамҭақәа рҭоурых ала аԥшаара	Поиск по истории сообщений
Ацҳамҭақәа рҭоурых арыцқьара	Очистить историю сообщений
Ацҳамҭақәа рҭоурых	История сообщений
Ацҳамҭақәа рхыԥхьаӡара	Количество приглашений
Ацҳамҭақәа рыҟәша	раздел Сообщений
Ацҳамҭақәа рыԥшаара	Поиск сообщений
Ацҳамҭақәа сиахь	К списку сообщений
ацҳамҭақәа	сообщения
Ацҳамҭақәа	сообщения
Ацҳамҭақәа	Сообщения
Ацҳамҭаҟны аԥшранҵа · {user}	Изображения в сообщении {user}
Ацҳамҭа ныхра/Ацҳамҭақәа рныхра/Ацҳамҭақәа рныхра	Удалить сообщение/Удалить сообщения/Удалить сообщения
Ацҳамҭа ныхуп	Сообщение удалено
Ацҳамҭа ныхуп.	Сообщение удалено.
ацҳамҭа	сообщение
Ацҳамҭа	сообщение
Ацҳамҭа	Сообщение
Ацҳамҭа...	Сообщение...
Ацҳамҭа:	Сообщение:
Ацҳамҭа	Сообщения
Ацҳамҭа уажәшьҭа ианыхуп.	Комментарий уже удалён
Ацҳамҭахь аиасра атемаҟны	Перейти к сообщению в теме
Ацҳамҭахь аҭак ҟарҵоит аилазааратә гәыԥ анапхгаҩцәа	На сообщения отвечают администраторы сообщества
Ацҳамҭа ҿыц абжьы	Звук нового сообщения
ацҳамҭа ҿыцк/цҳамҭа ҿыцқәа/цҳамҭа ҿыцқәа	новое сообщение/новых сообщения/новых сообщений
Ацҳамҭа ҿыцқәа	Новые сообщения
Ацҳамҭа ҿыц	Новое сообщение
Ацҳамҭа ҿыц ԥаҳәрада иацҵан.	Новая запись была успешно добавлена.
Ацҳамҭа ҿыц шәоуит	У вас новое сообщение.
Ацҳамҭа шьҭӡам.	Сообщение не отправлено
Ацҳамҭа шьҭуп.	Сообщение отослано.
Ацҳамҭа шьҭуп	Сообщение отправлено
Ацҳамҭа шьҭуп.	Сообщение отправлено.
Ацҳамҭа ҩра	Написать сообщение
Ацҳамҭ. рҭоурых ала аԥшаара	Поиск по истории сообщений
Ацҳара атекст арбара	Показывать текст сообщений
Ацҳарақәа аилакрақәа рҿы	Сообщения в сообществах
Ацҳарақәа мап ацәкра	Запретить сообщения
Ацҳара	Сообщить
Ацҳара шәзаазышьҭыз, мамзар здаҟьаҿ иазырбаз игәра шәгозар (ихаҭыԥын цәгьахәыцҩык дышҭам агәра ганы шәыҟазар), азхьарԥш аҭыӡҭыԥ аҵәаҳәа иҭажәҩыр шәылшоит.	Если вы уверены, что доверяете участнику, который её опубликовал или отправил (и уверены, что это не сделал злоумышленник, получивший доступ к его странице), вы можете скопировать её в адресную строку.
Ацҵа %s иаԥыхын мамзаргьы макьана иҿкааӡам.	Приложение было удалено или ещё не создано.
Ацҵа ада	Без прикреплений
Ацҵа аҭыӡҭыԥ:	Адрес приложения
Ацҵа ацҵара	Добавить приложение
Ацҵа	Дополнение
Ацҵара %s »	Добавить %s »
Ацҵара-агырхара	Плюс-минус
ацҵара арыцхә ала	по дате добавления
ацҵара	добавить
+Ацҵара	+Добавить
Ацҵара	Добавить
Ацҵара:	Добавить:
АЦҴАРА	ДОБАВИТЬ
Ацҵара	Добавить ссылку
Ацҵара	Добавление
ацҵара	историю
Ацҵарақәа / Аныхрақәа	Добавления / Удаления
Ацҵара	Прикрепить
Ацҵара	Продолжить
Ацҵахәҭа дырга	Знак абзаца
Ацыгәқәа	Кошки
Ацыгә хәҷқәа	Котики
Ацыԥха аныхра	Удаление ключа
Ацыԥха аԥсахра	Редактирование ключа
Ацыԥха аҭоурых аиқәырхара	Сохранить историю ключа
Ацыԥха аҭыԥ ԥсахра	Переместить ключ
Ацыԥхақәа реиҭагара 4-мш инареиҳамкәа иагоит	в среднем перевод ключей занимает не более 4 дней
Ацыԥхақәа реиҭагара 6-мш инареиҳамкәа иагоит	в среднем перевод ключей занимает не более 6 дней
Ацыԥхақәа реиҭагара 6-мш инареиҳаны иагоит	в среднем перевод ключей занимает более 6 дней
Ацыԥха ҿыц ахәҭеи ахьӡи	Раздел и название нового ключа
Ацырцырқәа	Блёстки
Аҵаа Бабаду	Дед Мороз
Аҵааҭыԥҳа	Снегурочка
Аҵабыргнҵаҩы/Аҵабыргнҵаҩы	Журналист/Журналист
Аҵакы змоу	Актуальные
Аҵара амш адныҳәалара	Поздравить с Днём знаний
Аҵарадырра амш	День знаний
Аҵара ианалагаз ашықәс:	Год начала обучения:
Аҵараиурҭа алхра	Выберите университет
Аҵараиурҭа алхра	Выбор университета
Аҵараиурҭа ацҵара	Добавить университет
Аҵараиурҭа	Вуз
Аҵараиурҭа:	Вуз:
Аҵараиурҭа:	Место учёбы:
Аҵараиурҭа ԥшаам	Вуз не найден
Аҵараиурҭатә аиндаҭлара	Университетский спорт
Аҵараиурҭатә ҩызцәа	Друзья по вузу
Аҵараиурҭа	Университет
Аҵара иҵоит %s аҿы/Аҵара лҵоит %s аҿы	Обучается в %s/Обучается в %s
Аҵара	Образование
Аҵара:	Образование:
Аҵара сцышәҵоз, аус сцыжәуаз мамзар шәыԥсы сцышәшьоз ауаа рыԥшаара.	Найти людей, с которыми вы когда-либо учились, работали или отдыхали.
Аҵаратә мшқәа	Учебные будни
Аҵаратә усбарҭа	Учебное заведение
аҵаргылара	подставить
Аҵаҳәамҭа атеқст:	Текст подсказки:
Аҵаҳәамҭа:	Подсказка:
Аҵаҳәара аҵәахра	Скрыть эту подсказку
Аҵаҩы ацҵара	Добавить ученика
Аҵаҩы	Ученик
Аҵәахра	Cкрыть
аҵәахра/аҵәахра/аҵәахра	скрыл/скрыли/скрыли
Аҵәахра	Свернуть
Аҵәахра	Скрыть
Аҵәахреи аныхреи	Скрыть и удалить
Аҵәҵәа атранслиациа ахыркәшара атәы шышәҭаху шәақәгәыӷуама?	Вы уверены, что хотите завершить трансляцию звонка?
Аҵәҵәа атранслиациа мҩаԥысуеит	Ведётся трансляция звонка
Аҵх алԥха!	Доброй ночи
Аҵх алԥха!	Спокойной ночи
Аҵысԥшқа	Птенчик
аҵыхəтəантəи х-аилыркаарак	три последних комментария
Аҵыхәаԥҵәарадара	Бесконечность
Аҵыхәтәан иныхыз	Последние удалённые
Аҵыхәтәантәи 24 сааҭ адаҟьа шәаҭаауазма?	Вы посещали страницу за последние 24 часа?
Аҵыхәтәантәи ажәабжьқәа	Последние новости
Аҵыхәтәантәи азгәаҭақәеи ахьарԥшқәеи аарԥшуп	Показаны последние упоминания ссылки
Аҵыхәтәантәи аилкаанҵақәа раарԥшра	Показаны последние статьи
Аҵыхәтәантәи активра	Последняя активность
Аҵыхәтәантәи активра:	Последняя активность:
Аҵыхәтәантәи ақәҿыҭрақәа цәыргоуп	Показаны последние ответы
Аҵыхәтәантәи аҟаҵарақәа	Последние действия
Аҵыхәтәантәи алҵшәақәа агәаҭара	Показать предыдущие результаты
Аҵыхәтәантәи амза ала	За последний месяц
Аҵыхәтәантәи амчыбжьазы иажәеиларккақәа зегьы азгәаҭақәа рахь рныхра/Аҵыхәтәантәи амчыбжьазы лажәеиларккақәа зегьы азгәаҭақәа рахь рныхра	Удалить все его комментарии к заметкам за последнюю неделю/Удалить все её комментарии к заметкам за последнюю неделю
Аҵыхәтәантәи амчыбжьазы сажәеиларккақәа зегьы азгәаҭақәа рахь рныхра/Аҵыхәтәантәи амчыбжьазы сажәеиларккақәа зегьы азгәаҭақәа рахь рныхра	Удалить все мои комментарии к заметкам за последнюю неделю/Удалить все мои комментарии к заметкам за последнюю неделю
Аҵыхәтәантәи амчыбжь азы свидеонҵамҭақәа зегьы рԥыхра/Аҵыхәтәантәи амчыбжь азы свидеонҵамҭақәа зегьы рԥыхра	Удалить все мои видео за последнюю неделю/Удалить все мои видео за последнюю неделю
Аҵыхәтәантәи амчыбжь ала	За последнюю неделю
Аҵыхәтәантәи аԥсахрақәа	Последние изменения
Аҵыхәтәантәи аԥсахра	Последняя редакция
Аҵыхәтәантәи аредакциа — {user} {date}	Последняя редакция — {user} {date}
Аҵыхәтәантәи аредакциа — {user} {time} рзы	Последняя редакция — {user} в {time}
Аҵыхәтәантәи аҭитәқәа раарԥшра	Показать предыдущие товары
аҵыхәтәантәи ахәҭаҷқәа	последние статьи
Аҵыхәтәантәи ахцәажәара арыцхә ала	По дате последнего комментария
Аҵыхәтәантәи ашықәс ала	За последний год
Аҵыхәтәантәиқәа	Недавние
Аҵыхәтәантәиқәа	Последние
Аҵыхәтәантәи х-жәеиларккак арбара	Показать последние три комментария
Ачара	Свадьба
Ачек аҭагалара	Скачать чек
Ачеклист аԥҵара	Создать чеклист
Ачеленџь	Челлендж
Ачысҟаҵара	Кулинария
Аҷабҳаскьынқәа	Незабудки
Аҷақ амацара	Только кнопка
Аҷақ аԥштәы:	Цвет кнопок:
Аҷақ ахьӡ аԥсахра ҟалоит	Название кнопки можно изменить
Аҷақ ахьӡ	Название кнопки
Аҷақ ахьӡ:	Название кнопки:
Аҷақ ахьӡ	Текст кнопки
Аҷақ ахьӡ:	Текст кнопки:
Аҷақ ахьӡ:	Текст на кнопке:
Аҷақ	Кнопка
Аҷақ:	Кнопка:
Аҷархан	Малинка
Аҷыдарақәа:	Особенности:
аҽа {count} {typing}	и ещё {count} {typing}
Аҽадкылара	Присоединиться
Аҽазкра	Попробовать
Аҽазышәара	Попробовать
Аҽалархәра	Принять участие
Аҽалархәра	Участвовать
Аҽалархәра	Участие
Аҽанҵара	Записаться
Аҽаныхра	Отписаться
Аҽаҵаҩра	Подписаться
Аҽаҵаҩҩра «{title}» аԥшьаҿы {app}	Подписка «{title}» в приложении {app}
Аҽаҵаҩҩра аиҭашьақәыргылара	Возобновить подписку
Аҽаҵаҩҩра аԥыхра	Отменить подписку
Аҽаҵаҩҩра аԥыхра	Подписка отменена
Аҽаҵаҩҩра ахәԥса	Стоимость подписки
Аҽаҵаҩҩрақәа	Источники
Аҽаҵаҩҩрақәа	Подписка
Аҽаҵаҩҩрақәа	Подписки
Аҽаҵаҩҩра	Подписаться
Аҽаҵаҩҩцәа зегь арбара	Показать всех подписчиков
Аҽаҵаҩҩцәа зегьы рырбара	Показать всех подписчиков
Аҽаҵаҩҩцәа рҿы ааныжьра	Оставить в подписчиках
Аҽаҵаҩҩцәа ыҟаӡам	Нет подписчиков
Аҽеилаҳәашьеи аҽырбареи	Стиль и мода
Аҽҭаҩра ацҵара	Продолжить регистрацию
Аҽҭаҩҩра	Зарегистрироваться
Аҽҳәара	Сроки
Аҽшьра шәазхәыцуазар	Если вас посещают мысли о самоубийстве
Аҽырбареи аԥшӡареи	Мода и красота
Аҽырбареи аҽеилаҳәашьеи	Мода и стиль
Аҽыҩҳаскьын	Клевер
Аҿакра	Вкл.
Аҿакра	Включено
аҿакра	включить
Аҿакра	Включить
Аҿакра	ВКЛЮЧИТЬ
Аҿакра	подключить
Аҿакра	Подключить
Аҿартә аҵысра	Молодёжное движение
Аҿархьра	Возражение
Аҿахәҳәага азышьҭра	Подать заявку
Аҿахәҳәага аԥыхра	Отменить заявку
Аҿахәҳәага ахәаԥшра цоит	Заявка рассматривается
Аҿахәҳәага мап ацәкуп	Заявка отклонена
Аҿахәҳәага ԥшааӡам	Заявка не найдена.
Аҿахәҳәага шәара мап ацәышәкит.	Заявка отменена вами.
Аҿаҵара	Заказать
Аҿаҵатәы аномер	Номер заказа
Аҿаҵатәы:	Заказ:
Аҿаҵаҩҩра аԥыхра	Отменить подписку
Аҿаҵаҩҩра иаԥыхын уи аԥхьа.	Подписка уже отменена.
Аҿгақәа	Филиалы
Аҿхышә	Киоск
Аҿҳәара:	Срок:
аҿы	в
Аҿырԥштәқәа ргәаҭара	Посмотреть примеры
Аҿырԥштәы: 3487	Пример: 3487
Аҿырԥштәы: {number}	Пример: {number}
Аҿырԥштәы: {profile}	Например: {profile}
Аҿырԥштәы агәаҭара »	Посмотреть пример »
Аҿырԥштәы Урыстәылазы: +7 921 0000007	Пример для России: +7 921 0000007
Аҿырхиага, апарфиумериа	Косметика и парфюм
Аҿыханҵа	Живопись
Аҿыхра	Выкл.
Аҿыхра	Выключить
аҿыхра	отключить
Аҿыхра	Отключить
Аҿыц аилазааратә гәыԥ аԥҵара	Создание нового сообщества
Аҿыц алахәцәа	Новые участники
Аҿыц алаҳәара	Новое оповещение
Аҿыц аԥҵара	Создать новую
аҿыцқәа	новые
Аҿыцқәа	Новые
Аҿыцқәа:	Новые
Аҿыцқәа:	Новые:
Аҿыцқәа реиԥш алкаара	Отметить как новые
Аҿыц	Новинка
Аҿыц	Новое
Аҿыц нҵамҭақәа рацәоума?	Много новых записей?
Аҿыц нҵамҭа	Новая запись
Аҿыц ҭыӡҭыԥ	Новый адрес
Аџьаз	Джаз
Аџьаԥса	Бонусное начисление
Ашəахтəқәа	Платежи
Ашəҟəы	Книга
Ашакализатор	Шакализатор
Ашара адырга	Знак деления
Ашәа ажәақәа:	Слова песни:
Ашәа атекст ԥшаам	Текст песни не найден
Ашәагаа	Размер
Ашәагаа:	Размер:
Ашәарақәа	Платежи
Ашәаратә маҵзура	Платёжные сервисы
Ашәаратә системала ахыԥхьаӡалара «{system}»	Зачисление через платёжную систему «{system}»
Ашәарҭадара агәаҭара	Проверка безопасности
Ашәарҭадара агха аԥошьҭа ашьақәырӷәӷәараан.	Ошибка безопасности при подтверждении почты.
Ашәарҭадара	Безопасность
Ашәарҭадара гха	Ошибка безопасности
Ашәарҭадаратә агха	Ошибка безопасности
Ашәарҭадаратә агха.	Ошибка безопасности.
Ашәарҭадаратә кодуоуртәеиԥш аҟаҵара:	Способы получить код безопасности:
Ашәарҭадаратә ҟәша	Центр безопасности
Ашәарҭадареи иҭалареи	Безопасность и вход
Ашәарыцареи аԥсыӡкреи	Охота и рыбалка
Ашәатәқәа рыхиагақәа еиқәырхоуп.	Настройки платежей сохранены.
Ашәатәы мҩаԥысуеит	Идёт оплата
Ашәахтә аԥыхра	Отмена платежа
Ашәахьа	понедельник
Ашәаҳәаҩ/Ашәаҳәаҩ	Певец/Певица
Ашәаҳәаҩ	Певец или певица
Ашәҟәаарт	Открытка
Ашәҟәқәа	Книги
Ашәҟәқәеи аидкылахкынҵақәеи	Книги и журналы
Ашәҟәы асервер аҟны аиқәырхара залыршахом. Ҳшәыҳәоит шәдаҟьа шәырҿыц, нас ҽазнык шәҽазышәшәа аҭагалара.	Не удалось сохранить файл на сервере. Пожалуйста, обновите страницу и попробуйте ещё раз.
ашәҟәы	книга
Ашәҟәы	Книга
Ашәҟәыҩҩы/Ашәҟәыҩҩы	Писатель/Писательница
Ашәҟәыҩҩы	Писатель или писательница
Ашәпара	Толщина
Ашәпара:	Толщина:
Ашә	пн
Ашәҭқәеи аҳамҭақәеи	Сувениры и цветы
Ашәҭ	Цветочек
Ашәча	Масленица
Ашәчатә	Маслёна
Ашәыруҭраҭыхқәа	Фруктовощи
Ашдод	Ашдод
Ашинақәа	Шины
Ашкол ажәабжьқәа	Новости школы
Ашкол алхра	Выберите школу
Ашкол арбара	Указать школу
Ашкол ахь ааԥхьара	Приглашение в школу
Ашкол ацҵара азы аҿахәҳәага	Заявка на добавление школы
Ашкол ацҵара	Добавить школу
Ашкол ацҵоуп	Школа добавлена.
Ашкол иазку аиҭаҳәара	Рассказать о школе
Ашкол-интернат:	Школа-интернат:
Ашколқәа реилацәажәарақәа	Публичные чаты
Ашколқәа	Школы
Ашколтә ҩызцәа	Друзья по школе
Ашкол	Школа
Ашкол:	Школа:
Ашрифт аԥсахра	Изменить шрифт
ашт	шт
Ашҭа	Площадь
Ашшбӷьыц аԥшьы азы	Жалоба на приложение
Ашшбӷьыц шьҭуп	Жалоба отправлена
Ашшԥхьыӡ аӡыргаратә ҭоурыхаз	Жалоба на рекламную историю
Ашшра{claim_id} мап ацәкуп	Жалоба {claim_id} отклонена
Ашшра аанкылан	Жалоба была отклонена
Ашшра ахархәаҩ изкны	Жалоба на пользователя
Ашшра	Жалоба
Ашшра зыхҟьаз	Причина жалобы
Ашшрақәа	Жалобы
Ашшра мап ацәкра	Отклонить жалобу
Ашшра	Пожаловаться
Ашшра шьҭуп	Жалоба отправлена
Ашшыбӷьыц иадкылаӡамызт	Жалоба не была принята
Ашшыбӷьыц иадкылоуп	Жалоба принята
Ашшыԥхьыӡ	Жалобы
Ашықәс аамҭақәа	Времена года
Ашықәса	Год
ашықәс ала	по году
Ашықәс алхра	Выбор года
Ашықәс	Год
Ашықәс:	Год:
Ашықәс ҿыц адныҳәалара	Поздравить с Новым годом
Ашықәс ҿыц ВКонтакте	Новый год ВКонтакте
Ашықәс ҿыц	Новый год
Ашықәс ҿыцтәи аамҭа	Новогодняя пора
Ашықәс ҿыцтәи агәалаҟазаара	Новогоднее настроение
Ашықәс ҿыцтәи адныҳәаларақәа	Новогодние поздравления
Ашықәс ҿыцтәи ажәаҭара	Новогоднее обещание
Ашықәсҿыцтәи ажәаҭара	Новогоднее обещание
Ашықәс ҿыцтәи асасцәа	Новогодние гости
Ашырҳәа шәзыҽшьақәшәырӷәӷәом.	Мгновенная авторизация недоступна.
Ашьа аҭаразы сыхиоуп	Готов сдать кровь
Ашьа	Брат
Ашьа:	Брат:
Ашьакәырӷәӷәара	Подтверждение
Ашьақəыргылара	Установить
Ашьақарка	Сахарок
Ашьақәыргылара арыцхә ала	по дате создания
Ашьақәыргыларақәа иахьа:	Установок сегодня:
Ашьақәыргыларақәа	Установки
Ашьақәыргылара	Установить
Ашьақәыргылаҩцәарахь	Разработчикам
Ашьақәырӷәӷәамҭақәа	Сеансы авторизации
Ашьақәырӷәӷәара	Авторизация
Ашьақәырӷәӷәараан амерчантә гха ҟаҵоуп	Ошибка авторизации мерчанта
Ашьақәырӷәӷәараан ашҟа ҟаҵоуп (ииашам анцамҭа)	Ошибка авторизации (неправильная подпись)
Ашьақәырӷәӷәара	Закрепить
Ашьақәырӷәӷәара	Подтвердить
Ашьақәырӷәӷәара	Подтверждение
Ашьақәырӷәӷәаратә зхьарԥш ажәхьеит	Ссылка для авторизации устарела.
Ашьақәырӷәӷәаратә ҭыӡҭыԥ:	Адрес для авторизации:
Ашьақәырӷәӷәарахь	Перейти к авторизации
Ашьақәырӷәӷәашьа:	Вид авторизации:
Ашьаҟа аҭбаара	Ширина столбца
Ашьапылампыл 2014	Футбол 2014
Ашьапылампыласра	Футбол
Ашьапылампыл асҩы/Ашьапылампыл асҩы	Футболист/Футболистка
Ашьапылампылеи аԥсшьареи	Спорт и отдых
Ашьапылампылтәи агәыԥ	Футбольная команда
Ашьапылампылтә команда	Футбольная команда
Ашьапылампыл	Футбол
Ашьапымаҭәа, ашәырақәа	Обувь и сумки
Ашьаҿа{step} {total_steps} аҟнытә	Шаг {step} из {total_steps}
Ашьаҿақәа ВКонтакте	Шаги ВКонтакте
Ашьҭахьҟа ахынҳәра	Вернуться назад
Ашьҭахьҟа	Назад
Ашьҭра азы аԥошьҭа	Почта для отправки
Ашьҭра	Отправить
Ашьҭыбжьтә ардыррақәа аҿакуп	Звуковые уведомления включены
Ашьҭыхра дырга	Знак умножения
Ашьҭҩы	Отправитель
Ашьҭҩы:	Отправитель:
Аҩаша	вторник
Аҩбатәи аҭел	Доп. телефон
Аҩбатәи аҭел:	Доп. телефон:
Аҩбатәи аҭыԥ	Второе место
Аҩбатәи аҩаӡара аиҵахы ацҵара	Добавить подзаголовок второго уровня
Аҩбатәи	Вторая
аҩ	вт
Аҩ	Вт
Аҩн. абжьылда:	Доп. телефон:
Аҩналарҭа	Вход
Аҩналарҭа	Подъезд
Аҩнатә бжь:	Дополнительный телефон:
Аҩнатә ԥстәқәа	Домашние животные
Аҩни абаҳчи	Дом и сад
Аҩни арҽеиреи	Дом, ремонт
Аҩни аҭаацәареи	Дом и семья
Аҩны аномер:	Номер дома:
Аҩны	Дом
Аҩны:	Дом:
Аҩнымаҭәа	Мебель
Аҩнытә ԥстәқәа	Домашние животные
Аҩнытә ԥстәқәа	Домашние питомцы
Аҩныҵҟатәи аӡыргара	Внутренняя реклама
Аҩра {name}	Написать {name}
Аҩра	Написать
Аҩыза даашәыԥхьа	Пригласите друга
Аҩыза дацҵоуп	Друг добавлен
Аҩыза дныхуп.	Друг удалён.
Аҩыза	Друг
Аҩыза дсымоуп	Есть друг
аҩыза дсымоуп	есть подруга
Аҩыза дсымоуп	Есть подруга
Аҩыза иааԥхьара	Пригласить друга
Аҩыза иааԥхьара	Приглашение друга
Аҩыза изышьҭра	Отправить другу
Аҩыза изышьҭра	Поделиться
Аҩыза иԥхьара	Вызвать друга
Аҩыза иԥхьара	Пригласить друга
Аҩыза ицҵара	Добавить друга
аҩызак/'%s-ҩызцәак/'%s-ҩызцәак	%s друг/%s друга/%s друзей
Аҩыза мамзаргьы ахьӡынҵа алхра	Добавить друга или список
Аҩызара ахь аҿахәҳәагақәа макьана ишәымаӡам.	У вас пока нет новых заявок в друзья.
Аҩызарахь аҭахҳәагақәа	Заявки в друзья
Аҩызарахь аҭахҳәага ԥшаам.	Заявка в друзья не найдена.
Аҩызахарахь аҭахҳәага	Заявки в друзья
Аҩызахарахь аҭахҳәагақəа	Заявки в друзья
Аҩызахарахь аҭахҳәагақәа	Заявки в друзья
Аҩызцәа	Friends
Аҩызцәа {user}	Друзья {user}
Аҩызцәа · {user}	Друзья {user}
Аҩызцәа алхӡам	Друзья не выбраны
Аҩызцәа арзеиҭаҳәара	Рассказать друзьям
Аҩызцәа ахәмарраҿы	Друзья в игре
Аҩызцәа ахьӡынҵаҿы	Друзья в списке
Аҩызцәа гәакьақәа	Лучшие друзья
Аҩызцәагьы	В том числе друзья
Аҩызцәа-донцәа	Друзья-доны
Аҩызцәа	Друзья
Аҩызцәа зегьы	Все друзья
Аҩызцәа зегьы раарԥшра	Показать всех друзей
Аҩызцәа зегьы рҟынтә	От всех друзей
Аҩызцәа рааԥхьара аҟаҵашьа	Способы приглашения друзей
Аҩызцәа рааԥхьара	Пригласить друзей
Аҩызцәа рааԥхьара	Приглашение друзей
Аҩызцәа ралхра	Выбор друзей
Аҩызцәа ралхра	Выбрать друзей
Аҩызцәа рахь архынҳәра	Вернуть в друзья
Аҩызцәа рахь ацҵара	Добавить в друзья
аҩызцәа рахь ацҵара	Добавление в друзья
Аҩызцәа рахь ацҵаразы аҽахәҳәагақәа шәымаӡам.	У вас нет заявок в друзья.
Аҩызцәа рахь дацҵоуп/Аҩызцәа рахь дацҵоуп	Добавлен в друзья/Добавлена в друзья
Аҩызцәа ргәаҭара	Посмотреть друзей
Аҩызцәа рзеиҭаҳәара	Рассказать друзьям
Аҩызцәа рзы анҵамҭа	Запись для друзей
Аҩызцәа рзы	Только для друзей
Аҩызцәа рҟнытә аныхра	Удалить из друзей
Аҩызцәа рҟынӡа азнагара	Поделиться с друзьями
Аҩызцәа рҟынтәи аныхра	Удалить из друзей
Аҩызцәа рҟынтә	От друзей
Аҩызцәа рҭоурыхқәа	Истории
Аҩызцәа рҭоурыхқәа	Сюжеты
Аҩызцәа русмҩаԥгатәқәа	Мероприятия друзей
Аҩызцәа рҳәааҭагалара Facebook ала	Импорт друзей через Facebook
Аҩызцәа рҳәааҭагалара Google ала	Импорт друзей через Google
Аҩызцәа рҳәааҭагалара Twitter ала	Импорт друзей через Twitter
Аҩызцәа рҳәааҭагалара Одноклассники ала	Импорт друзей через Одноклассники
Аҩызцәа рҽалархәышьа	Активность друзей
Аҩызцәа рыдаагалара	Предложить друзей
Аҩызцәа рыдныҳәалара	Поздравить друзей
Аҩызцәа рызгәаҭақәа	Заметки друзей
Аҩызцәа рыҟәша	раздел Друзей
Аҩызцәа рылхра	Выбор друзей
Аҩызцәа рымш иирақәа	Дни рождения друзей
Аҩызцәа рымш иирақәеи реиԥыларақәеи	Дни рождения друзей и мероприятия
Аҩызцәа рыԥхьара	Пригласить друзей
Аҩызцәа рыԥшаара Facebook ала	Найти друзей через Facebook
Аҩызцәа рыԥшаара Google амаҵзурақәа рыла	Найти друзей через сервисы Google
Аҩызцәа рыԥшаара »	Искать друзей »
Аҩызцәа рыԥшаара	Найти друзей
Аҩызцәа рыԥшаара	Поиск друзей
Аҩызцәа рыԥшранҵақәа	Фотографии друзей
Аҩызцәа рырҿыцрақәа	Обновления друзей
Аҩызцәа рыҭитәқәа заҵәык	Только товары друзей
Аҩызцәа рыҭитәқәа	Товары друзей
Аҩызцәа рыхьзынҵақәак	Некоторые списки друзей
аҩызцәа рыхьӡынҵақәак	некоторым спискам друзей
Аҩызцәа рыхьӡынҵамҭа ариашара	Редактировать список друзей
Аҩызцәа рыхьӡынҵа	Списки друзей
аҩызцәа рыхьӡынҵа	список друзей
Аҩызцәа рыхьӡынҵа	Список друзей
Аҩызцәа рыхьӡынҵахь аиасра »	Перейти к списку друзей »
Аҩызцәа рыхьӡынҵахьы	К списку друзей
аҩызцәа рыхьӡынҵахьы	списку друзей
Аҩызцәа рыцҵара	Добавить друзей
Аҩызцәа рыҵәахра	Скрытые друзья
Аҩызцәа хәмаруеит	Друзья играют
Аҩызцәа ҿыцқәа	Новые друзья
Аҩызцәа ыҟаӡам	Друзей нет
