Абираҟ ҳаргылап	Установить флажок
Иарктәуп	до закрытия мною &brandShortName;
ескьынагь аҵаара	спрашивать каждый раз
Ахатә дыррақәа	Личные данные
Уажә ирыцқьатәуп	Очистить сейчас
Аҭыҵра	Выход
«%2$S» адҵаалара ҟанаҵоит  ахархәаҩ ихьӡи имаӡажәеи шаҭахәы. Асаит иҳанаҳәои: «%1$S»	«%2$S» запрашивает имя пользователя и пароль. Сайт говорит: «%1$S»
Прокси «%2$S» адҵаалара ҟанаҵоит  ахархәаҩ ихьӡи имаӡажәеи шаҭахәы. Асаит иҳанаҳәои: «%1$S»	Прокси «%2$S» запрашивает имя пользователя и пароль. Сайт говорит: «%1$S»
%1$S азы ахархәаҩ ихьӡи имаӡажәеи ҭажәгал	Введите имя пользователя и пароль для %1$S
%1$S азы %2$S аҟны амаӡажәа ҭажәгал.	Введите пароль для %1$S на %2$S
Аҭыҵра ахьынтә (%S)	Выход из %S
Иҭыҵтәуп	&Выйти
Ихьчатәуп иҭыҵтәуп	&Сохранить и Выйти
Уашьҭантәи адәықәҵараан ишәҭахума  %S иахьчарц шәҭахума иаарту аԥенџьырқәеи агәылаҵақәеи.	Вы хотите, чтобы %S сохранил открытые окна и вкладки и восстановил их при следующем запуске?
Уашьҭантәи адәықәҵараан ишәҭахума  %S иахьчарц шәҭахума иаарту аԥенџьырқәеи агәылаҵақәеи?	Вы хотите, чтобы %S сохранил открытые вкладки и восстановил их при следующем запуске?
Ангилиа	Ангилья
Албаниа	Албания
Австриа	Австрия
Австралиа	Австралия
Аландтә о-ва	Аландские о-ва
Беларус	Беларусь
Кокостә (Килинг) о-ва	Кокосовые (Киилинг) о-ва
Африкантә-Агәыҭатәи республика	Центрально-Африканская республика
Китаи	Китай
Чештә республика	Чешская республика
џьибути	Джибути
Даниа	Дания
Доминикантә Республика	Доминиканская Республика
еквадор	Эквадор
Мраҭашәаратәи Сахара	Западная Сахара
Еритреиа	Эритрея
Фолклендтә (Малвинтә) о-ва	Фолклендские (Мальвинские) о-ва
Микронезиа	Микронезия
Великобританиа	Великобритания
Қырҭтәыла	Грузия
Афарнцызтә Гвиана	Французская Гвиана
Гамбиа	Гамбия
екваториалнаиа Гвинеиа	Экваториальная Гвинея
Грециа	Греция
Аладатә џьорџьиеи аладатә Сандвичевы о-ва	Южная Джорджия и Южные Сандвичевы о-ва
Гвинеиа-Бисау	Гвинея-Бисау
Гаиана	Гайана
о-ва Херд и Макдоналд	о-ва Херд и Макдональд
Израил	Израиль
о. Мен	о. Мэн
Индиа	Индия
Иамаика	Ямайка
Иорданиа	Иордания
Иапониа	Япония
Кениа	Кения
Камбоџьа	Камбоджа
Севернаиа Кореиа	Северная Корея
Казахсҭан	Казахстан
Сент-Лиусиа	Сент-Люсия
Либериа	Либерия
Ливиа	Ливия
Мианма	Мьянма
Аҩада Мариантә острова	Северные Марианские острова
Маврикии	Маврикий
Малдивы	Мальдивы
Новаиа Каледониа	Новая Каледония
Ниуе	Ниуэ
Новаиа Зеландиа	Новая Зеландия
Афранцузтә Полинезиа	Французская Полинезия
Папуа-Новаиа Гвинеиа	Папуа-Новая Гвинея
Пакисҭан	Пакистан
Сен-Пер и Микелон	Сен-Пьер и Микелон
Пуерто-Рико	Пуэрто-Рико
Парагваи	Парагвай
Реиунон	Реюньон
о-ва Свалбард и иан Меиен	о-ва Свалбард и Ян Мейен
Сириа	Сирия
о-ва Теркс и Каикос	о-ва Теркс и Кайкос
Афарнцызтә аладатә ҵакырақәа	Французские южные территории
Таџьикисҭан	Таджикистан
Туркменисҭан	Туркменистан
Танзаниа	Танзания
Ихәыҷу Тихоокеантә Ихароу острова (США)	Малые Тихоокеанские Отдаленные острова (США)
Уругваи	Уругвай
Виргинтщ о-ва (Великобританиа)	Виргинские о-ва (Великобритания)
Ветнам	Вьетнам
иемен	Йемен
Маиотт	Майотт
Замбиа	Замбия
Икорректым авеб-саит азы адырра аҭара…	Сообщить о некорректном веб-сайте…
Амцуратә веб-саит азы адырра аҭара…	Сообщить о мошенническом веб-сайте…
Абызшәа	Язык
Иҽеим авеб-саит аӡбахә аҳәара	Сообщить о некорректном веб-сайте
Аҽырмаӡара аполитика	Политика приватности
Ари амаруга иҳанаҳәоит авеб-саитқәа, иҽеимкәа &brandShortName; аҟны аус шыруа; ма &brandShortName; аҟны аусура мап шацәыркуа;. Ҳаԥхьаҟа ахархәаҩ из ы &brandShortName; ҳацхраауеит авеб-даҟьаҿ аусура арманшәаларазы;.Ҳшәыҳәоит шәаԥхьа анаҩстәи атекст, иеизгахо аинформациа ахархәара шаиуа, иҳашәҭарц шәҭахызар.	Этот инструмент позволяет сообщить нам о веб-сайтах, некорректно работающих в &brandShortName; или отказывающихся работать в &brandShortName;. Это поможет нам в будущем улучшить работу с веб-страницами для пользователей &brandShortName;. Пожалуйста прочтите следующий текст, чтобы узнать, как будет использоваться собираемая информация, если вы согласитесь нам её передать.
Ацҵаразы шәаԥхьа аҽыҵәахра аполитика.	Перед тем как продолжить, вам нужно прочесть политику приватности.
Абызшәа:	Язык:
Ахатә дыррақәа раныхра	Удаление личных данных
Анаҩстәи адыррақәа раныхра:	Удалить следующие данные:
Ашьақәыргылара...	Когда я прошу &brandShortName; удалить мои личные данные, он должен стереть:
Ажәамаӡақәа	Пароли
Агәыҽанҵара	Предупреждения безопасности
Интернет аҿы ааусураан, иалышәх ижәбарц ишәҭаху агәҽанҵарақәа 	Выберите предупреждения, которые вы хотите видеть при работе в Интернете
Ашәарҭадара агәҽанызаара	Предупреждения безопасности
Аҭыԥп:	Расположение:
(Хьӡыда)	(Без имени)
Агәылаҵа арктәуп	Закрыть вкладку
Адақьа ҿыцқәа аартлатәуп ...аҿы:	Открывать новые страницы в:
Ахалагаратә код: 	Исходный код: 
Ахыркәшара	Завершение
Агәынкыларҭатә ҭыԥ азхом	недостаточно памяти
Асинтаксистә агха	ошибка синтаксиса
Еилкаам агәаҭа	неопределённая сущность
Иаркым аҟәша CDATA	незакрытый раздел CDATA
адәныҟатәи аҵакахь ахьарԥш адулараан агха	ошибка обработки ссылки на внешнюю сущность
иавтаномым адокумент	неавтономный документ
асинтаксистә анализатор аҭагылазаашьа еилкаам	неопределённое состояние синтаксического анализатора
ахьӡқәа реиужьрақәакгьи апрефикс адҳәалара амамзароуп	префикс не должен быть связан с ни с одним из зарезервированных пространств имён
Ҳазыԥшуп: </%S>.	. Ожидается: </%S>.
