Аилазааратә гәыԥ архиагақәа	Настройки сообщества
Асахьаҭыхымҭа ацҵара	Добавить изображение
Аҭакқәеи ардыррақәеи	Ответы и уведомления
Аҭиирахь ақәыргылара	Выставить на продажу
Аҭоурыхқәа рнаԥхгара	Управление историями
Аультраконсервативтә	Ультраконсервативные
Аҵыхәтәантәи активра	Последняя активность
Босниеи Герцеговинеи	Босния и Герцеговина
Иҭажәгал аԥшранҵақәа	Загрузите фотографии
Шәынҵамҭа ахә ршьеит	Оценили вашу заметку
Авидеонҵамҭа ашьҭра	Отправка трансляции
Адаҟьа иамоуп агха:	Страница с ошибкой:
Ажәеиларкка аныхуп.	Комментарий удалён.
Аконтент анҵамҭақәа	Публикация контента
Алахәцәеи аӡыргареи	Участники и реклама
Алахәылаҩ иалхра.	Выбрать партнёра.
Аԥшранҵақәа зышьҭра	Отправка фотографии
Аԥшранҵақәа рырбара	Показать фотографии
аԥшранҵақәа рыцҵара	добавить фотографии
Аԥшранҵақәа рыцҵара	Добавить фотографии
Ари иарку агәыԥ ауп	Это закрытая группа
«Архиагақәа» аартра	Открыть «Настройки»
Атранслиациа адаҟьа	Страница трансляции
Аусмҩаԥгатәы аԥҵара	Создать мероприятие
Ахәмарра аанкылоуп.	Игра заблокирована.
Ацхыраара ВКонтакте	Поддержка ВКонтакте
аҩызцәа рахь ацҵара	Добавление в друзья
Веб-камерала аҭыхра	Снимок с веб-камеры
Иалху аплатформақәа	Выбранные платформы
Иаԥхьааиуа раарԥшра	Показать предыдущие
Кристина Третиакова	Кристина Третьякова
Ҟазахсҭан ВКонтакте	Казахстан ВКонтакте
Ҿыцны ишәыдышәкылаз	Недавно добавленные
Шәызҵаара ҭашәгала…	Введите ваш вопрос…
Шәномер џьаргьы ицәырҵӡом асаит аҭаларазы заҵәык ахархәара амоуп. Аусура зегьы хәыда-ԥсадоуп.	Ваш номер нигде не выводится и используется только для входа на сайт. Вся процедура бесплатна.
Ари ахҭыс ала аԥхьара адкылара ма мап ацәкра Шәара ишәылшоит адаҟьа аҟны :	Принять или отклонить приглашение на это мероприятие вы можете на странице:
Шәдаҟьа аанкылан зыгәрагам аԥшранҵақәа ахьааанашьҭуаз азы.	Аккаунт заблокирован за отправку подозрительных фотографий.
Ари азҵааранҵа ихадароу аилак адаҟьа аҿы уаҳа иарбаӡахом.	Этот опрос больше не выводится на главной странице группы.
Агха ҟалазар ҟалап, мамзаргьы ашәатәы мап ацәкын	Возможно, произошла ошибка или платёж был отменён
Иашәырба шәҩыза мамзаргьы аилазааратә гәыԥ рыхьӡ	Начните вводить имя друга или название сообщества
Ишәыдаҳныҳәалоит! Азхьарԥш шәдаҟьаҟны иҟалоит.	Поздравляем! Ссылка появится на вашей странице.
Ашәарҭадара агха аԥошьҭа ашьақәырӷәӷәараан.	Ошибка безопасности при подтверждении почты.
Ҳара ишәыдаагалаӡом ари азхьарԥшахь аиасра.	Мы не рекомендуем переходить по этой ссылке.
Шәдаҟьа аҭыӡҭыԥ қәҿиарала иԥсахуп абри ала:	Адрес вашей страницы был успешно изменён на:
Аԥара ахыхра шәақәшаҳаҭхара ашьақәырӷәӷәаразы ианышәҵа ишәоуз акод. Ақәшаҳахара аус аулоит 90 мшы. Шәара еснагь ишәымоуп алшара ақәшаҳаҭхара аԥыхра Ахә ашәашьа аҟәша аҟны.	Для подтверждения вашего согласия на списание средств введите полученный код. Согласие будет действовать 90 суток. Вы всегда можете отменить согласие в разделе Способы оплаты.
Ари адаҟьа аӡәгьы џьаргьы иазнеимгацт.	Этой страницей пока никто не поделился.
Ахархәаҩ ахьӡынҵа еиқәаҵәахь дацҵоуп.	Пользователь добавлен в чёрный список.
Аилак ампыҵакҩы қәҿиарала дыԥсахуп.	Владелец сообщества успешно изменён.
Ари аҭыԥ аҟны аӡәгьы иҽаимырбаӡацт.	В этом месте ещё никто не отмечался.
Атема ахьӡи архиагақәеи еиқәырхоуп.	Название и настройки темы сохранены.
Аусмҩаԥгатәы алахәцәа зегьы рырбара	Показать всех участников мероприятия
Ахсаала сыԥшранҵақәа зну збар зылшо	Кто видит карту с моими фотографиями
Уи шәдаҟьа аанкылара шәацәнахьчоит.	Это поможет вам избежать блокировки.
Аилазааратә гәыԥ аҿы аԥшьы арбара	Показывать приложение в сообществе
Аԥшаара ақалақь ма амҩа ахыӡь ала	Поиск по названию города или улицы
Аҵыхәтәантәи х-жәеиларккак арбара	Показать последние три комментария
Иаарту аусмҩаԥгатә аҟны агәаҳәара змоу зегьы рҽаладырхәыр алшоит.	В открытом мероприятии могут участвовать все желающие пользователи.
Иашәырба ахьӡ мамзаргьы анагӡаҩ	Введите название или исполнителя
Аԥшьы ВКонтакте ашьақәыргылара	Установить приложение ВКонтакте
Афакультет ацҵаразы аҿахәҳәага	Заявка на добавление факультета
ВКонтакте шәажәамаӡа аҵәахӡом.	ВКонтакте не хранит ваш пароль.
Иҭабуп! Шәыхәшьара еиқәырхоуп.	Спасибо! Ваша оценка сохранена.
Абраузертә аацҳарақәа рҿаҵара	Включить оповещения в браузере
Аԥшьы агенерациатә кодқәа рзы	Приложение для генерации кодов
Ианышәҵаз анҵамҭақәа раарԥшра	Показать опубликованные записи
Ажәабжьқәа рыхьӡынҵа аԥсахра	Редактировать списки новостей
Ажәеиларкка мыцхәы икьаҿоуп.	Комментарий слишком короткий.
Ашьҭыбжьтә ардыррақәа аҿакуп	Звуковые уведомления включены
Иҟалозар, иашәырба ауадаҩра.	Пожалуйста, укажите проблему.
Инарҭбаау адырраҭара аарԥшра	Показать подробную информацию
Сфакультет ахьӡанҵаҿы иҟаӡам	Моего факультета нет в списке
Ииашаҵәҟьаны ишәҭахума ари ахархәаҩ иҭауарқәа рыҵәахра?	Вы действительно хотите скрыть товары этого пользователя?
Абри аҩыза ақәыԥшыла ыҟоуп.	Такой шаблон уже существует.
Ажәеиларкка наунагӡа аныхра	Удалить комментарий навсегда
Еиҳа авидеонҵамҭақәа арбара	Показать больше видеозаписей
Шәыҭитә акаталог ахь ацҵара	Добавьте ваш товар в каталог
Агәра ганы шәыҟоума аҭыхра аиқәырхарада иҿаԥышәҵар шышәҭаху, нас аԥенџьыр аркра?	Вы уверены, что хотите прервать рисование без сохранения результата и закрыть окно?
Изҩымҭоу изинҭарада абжьынҵамҭа ахархәара иақәиҭтәым.	Аудиофайл не должен нарушать авторские и смежные права.
Аҩызарахь аҭахҳәага ԥшаам.	Заявка в друзья не найдена.
ВКонтакте аԥара аиагарақәа	Денежные переводы ВКонтакте
Иҟалозар, иалышәха амҩаду.	Пожалуйста, выберите улицу.
Шәара ишәылшоит 10 фаил еиҳамкәа аацҳарахь адҵара.	Вы можете прикрепить к сообщению не более 10 файлов.
Аӡыргаратә ақциа агәаҭара	Посмотреть рекламную акцию
Аҭыҵразы иашәырба ажәамӡа	Изменение пароля для входа
Ацҳамҭахь аиасра атемаҟны	Перейти к сообщению в теме
ВКонтакте амобилтә версиа	Мобильная версия ВКонтакте
Еиԥшу аӡырҩрҭақәа аԥҵоуп.	Похожие аудитории созданы.
Шәынҵамҭа ахь ажәеиларкка	Комментарий к вашей записи
Адгаларақәа зегьы арбара	Показать все рекомендации
Анаҩстәи ашьаҿахь аиасра	Перейти к следующему шагу
Аԥара аиагарақәа раартра	Открыть денежные переводы
Ахьӡынҵа еиқәаҵәа арҭәра	Пополнение чёрного списка
Аҽаҵаҩҩцәа зегьы рырбара	Показать всех подписчиков
Иашәырба аԥшранҵа ашәага	Укажите размер фотографии
Сальбомқәа рахь ахынҳәра	Вернуться к моим альбомам
Аԥшьқәа зегьы раарԥшра.	показать все приложения.
Ааԥхьара мап ацәышәкеит	Вы отклонили приглашение
Альбом иаартны ааныжьра	Оставить альбом открытым
Ахархәаҩцәа рхыԥхьаӡара	Количество пользователей
Иҵегь ардыррақәа арбара	Показать ещё уведомления
Сыԥшранҵақәа аҭӡамц аҿы	Фотографии на моей стене
Абри ахархәаҩ иахь аԥара шәышьҭырц шәылшоит.	Вы можете отправить деньги этому пользователю.
Абжьылда номер аԥсахра	Изменить номер телефона
Адаҟьа аидентификатор:	Идентификатор страницы:
Азхьарԥш ахьыӡ анышәҵа	Введите название ссылки
Аинструменталтә музыка	Инструментальная музыка
Анцәахаҵаратә аиҿкаара	Религиозная организация
Жәабран 14 адныҳәалара	Поздравить с 14 Февраля
Жәабран 23 адныҳәалара	Поздравить с 23 Февраля
Иҵегь алҵшәақәа арбара	Показать ещё результаты
Ииашаҵәҟьаны ишәҭахума ари алԥшаага аныхра?	Вы действительно хотите удалить эту подборку?
Шәдаҟьа аанаҳкылеит ахԥатәи аган рзин еилажәгазар ахьалшо аҟынтә	Ваша страница заблокирована за возможное нарушение прав третьих лиц
Ари адаҟьазы аҿахәҳәага адәықәҵара ҟалаӡом	Подача заявки для данной страницы невозможна
Авидеонҵамҭа азнагара	Поделиться трансляцией
Аӡыргаратә нҵамҭа ҿыц	Новая рекламная запись
Аицлабра хыркәшахьеит	Конкурс уже завершился
Аныҳәарақәа реиҿкаара	Организация праздников
Аԥшьы анаԥхгара аҭара	Управление приложением
Атематикақәа рыԥсахра	Редактирование тематик
Ахархәаҩцәа рдаҟьақәа	Страницы пользователей
Еиқәырхоу аԥшранҵақәа	Сохранённые фотографии
Зегь реиҳа иззыӡырҩуа	Популярные аудиозаписи
Ирхиатәуп адгаларақәа	Настроить рекомендации
Сара 18 шықәса схыҵит	Мне исполнилось 18 лет
Сҩызцәеи урҭ рҩызцәеи	Друзья и друзья друзей
Иахьа Адунеитә аҳәса рымш аныҳәоуп. Шәара ишәылшоит аҳәса аҳамҭақәа рзышәышьҭыр.	Сегодня отмечается Международный женский день. Вы можете отправить подарки женщинам.
Агха АТОЛ: Ахатәыхьӡ ма амаӡажәа иашаӡам	Ошибка АТОЛ: Неправильные логин или пароль
Ари авариант азы аӡәгьы ибжьы имҭииӡацт.	За этот вариант ещё никто не проголосовал.
Аҵыхәтәантәи 24 сааҭ адаҟьа шәаҭаауазма?	Вы посещали страницу за последние 24 часа?
ВКонтакте иалагоит агеолакациатә ӡыргара	ВКонтакте запускает геолокационную рекламу
Ииашаҵәҟьаны ишәҭахума аҽаҵаҩҩра аԥыхра?	Вы действительно хотите отменить подписку?
Ажәеиларкка азышьҭуп	Комментарий отправлен
Аимадаратә дырраҭара	Контактная информация
аиҭабжьыҭира ҟалаӡом	переголосовать нельзя
Аиҭабжьыҭира ҟалаӡом	Переголосовать нельзя
Алеқсандр Сорочински	Александр Сорочинский
Анаҩстәи аудионҵамҭа	Следующая аудиозапись
Аоперациатә диреқтор	Операционный директор
Апромокод арцыхцыхра	Активировать промокод
Аԥшранҵа аиқәырхара.	Фотография сохранена.
Арыжәтә азыҟазаашьа:	Отношение к алкоголю:
Атеқст аҩҩра шәалага	Начните вводить текст
ахархәаҩцәа ҽнак азы	пользователей в сутки
Ашәарҭадара агәаҭара	Проверка безопасности
Иазҿлымҳақәо аԥшьқәа	Популярные приложения
Константин Брилевски	Константин Брилевский
Французтәи Полинезиа	Французская Полинезия
Хәыда-ԥсада агәаҭара	Попробовать бесплатно
Абри ардырра макьана аӡәгьы игәамԥхеит.	Это сообщение пока никому не понравилось.
Абри адаҟьа макьана аӡәгьы игәамԥхеит.	Это страница пока никому не понравилась.
Азхьарԥш ари адомен змоу ыҟоуп асиаҿы.	Ссылка с этим доменом уже есть в списке.
Абжьы аҭаны аарԥшра	Раскрывать со звуком
Авидеонҵамҭа ацҵара	Добавить видеозапись
Авидеофаил ԥшааӡам.	Видеофайл не найден.
Аӡыргаратә алаҳәара	Рекламное объявление
Аӡыргаратә наплакы:	Рекламное агентство:
Аиларкыгатә маҭәахә	справочные материалы
Аилахәра ахь аиасра	Перейти в сообщество
Алаҳәара аиқәырхара	Сохранить объявление
Аԥшьқәа рырхиагақәа	Настройки приложений
Ари ацҳамҭа аҵәахра	Скрыть это сообщение
Арыжәтә азыҟазаашьа	Отношение к алкоголю
Аҭак ҿыц аҭӡамц аҿы	Новый ответ на стене
Аусмҩаԥгатәы ацҵара	Добавить мероприятие
Афаил ҿыц аҭагалара	Загрузить новый файл
Ахархәага адҳәалара	Привязать устройство
Ахьӡынҵа ҿыц аԥҵара	Создать новый список
Ашәарҭадаратә агха.	Ошибка безопасности.
Егьи ақалақь арбара	Указать другой город
егьырҭ ахархәагақәа	остальные устройства
Инарҭбааны аилкаара	Подробная информация
Иреиӷьу алаҳәарақәа	Избранные объявления
Иреиӷьу рахь ацҵара	Добавить в избранное
Ахархәаҩ ари аҩыза аелектронтә ԥочшьҭала иҽҭаигалахьеит.	Пользователь с этой электронной почтой уже зарегистрирован.
Адаҟьа аанкылоуп анаҩс аҭалара аҟынӡа	Страница заблокирована до первого входа
Абжьынҵамҭа аныхра	Удалить аудиозапись
авидеонҵамҭа ныхра	удалить видеозапись
Агәыԥ ахь ааԥхьара	Пригласить в группу
Агха иазку ацҳамҭа	Сообщение об ошибке
Ажәеиларкка аныхра	Удалить комментарий
Аицлабра алҵшәақәа	Результаты конкурса
Алацәажәара ацҵара	Добавить обсуждение
Алашьақәырӷәӷәашьа	Способы авторизации
Алԥшаага адҳәалара	Прикрепить подборку
Алҵшәақәа раарԥшра	Показать результаты
Амҩаԥгаҩцәа мацара	Только координаторы
Аполитикатә партиа	Политическая партия
Аԥошьҭа ҿыц аԥҵара	Создать новую почту
Аԥшранҵақәа ацҵара	Добавить фотографию
Аԥшранҵақәа рныхра	Удаление фотографии
Аркәашагатә музика	Танцевальная музыка
Ахархәаҩцәа заҵәык	Только пользователи
Ахархәаҩцәа ралхра	Выбор пользователей
Ацҳамҭа адәықәҵара	Отправить сообщение
Ашәарҭадаратә агха	Ошибка безопасности
Ашкол ахь ааԥхьара	Приглашение в школу
Егьырҭ ахархәаҩцәа	Другие пользователи
- Иалышәх альбом -	- Выберите альбом -
Иреиӷьу ацҳамҭақәа	Избранные сообщения
Шәҳамҭа азышьҭоуп.	Ваш приз отправлен.
Шәдаҟьа аанаҳкылеит ишаны ирылашәҵаз ацҳамҭа еиԥшқәеи гәырӷьаҿҳәашатә цҳамҭақәеи рзы.	Мы заблокировали Вашу страницу за рассылку так называемых писем-цепочек или писем счастья.
Ацҳамҭа зышьҭхаӡом, избанзар аҵыхәтәантәи аамҭазы аилазааратә гәыԥ аҭӡамцаҿы мыцхәы ирацәаны иааныжьын ажәеиларккақәа.	Сообщение не может быть отправлено, так как на стене сообщества было оставлено слишком много комментариев за последнее время.
Шәдаҟьа аанкылан вики-адаҟьа ариашара ахьазуз азы:	Аккаунт заблокирован за редактирование вики-страницы:
Ацҳамҭақәа рвиджет алшамҭа ҿыцқәа	Новые возможности виджета сообщений
Ари аҭел аномер шәхы архәара шәылшаӡом, иаанкылоу адаҟьа иахьадҳәалоуп иахҟьаны.	Вы не можете использовать этот номер, так как он привязан к заблокированной странице.
Ацҳамҭа ааиуеит минуҭк аҵыхәала.	Сообщение придёт в течение минуты.
Ҳәыҳәоит, иашәырба даҽа ҭыӡҭыԥк.	Пожалуйста, выберите другой адрес.
Азҵааранҵа шәдаҟьа аҟны икыдуп.	Опрос размещен на вашей странице.
Ианыху адаҟьа аиҭашьақәыргылара	Восстановление удалённой страницы
Шәара ари аилацәажәара шәалцан.	Вы были исключены из этой беседы.
Асаит аԥҟарақәа реилагара инарымаданы атранслиациа аанкылан.	Трансляция была заблокирована в связи с нарушением правил сайта.
Еицырдыруа ахаҿы ма аколлектив	Известная личность или коллектив
Аилакра иаҿнахеит ацҳамҭақәа.	Сообщество отключило сообщения.
Ихәыдаԥсадоу аинтернет-дәқьан шәеилазаараҿы	Бесплатный интернет-магазин в Вашем сообществе
Шәдаҟьа аанкылоуп, избанзар 10 нызқь ааԥхьарақәа рзышьҭын агәыԥқәа рахь, урҭ макьаана ахархәаҩцәа ирыдрымкылаӡацт.	Эта страница была заблокирована, так как было разослано более 10 тысяч приглашений в группу, ещё не принятых получателями.
Шәдаҟьа аанкылан игәрагам ахьӡи ажәлеи рыԥсахра иахҟьаны:	Аккаунт заблокирован за подозрительную смену имени и фамилии:
Агәра шәга, аилазаара анаԥхгаҩҵәа зегьы аԥҟарақәа шырдыруа. Урҭ реилагарақәа рзын аилазаара иалшоит наӡаӡа ицәыӡыр алшара аҭоурых акьыԥхьра.	Убедитесь в том, что все руководители сообщества знают о правилах. За их нарушение сообщество может навсегда лишиться возможности публиковать истории.
Ахҳәаа ззыҟаҵоу аҳасабырба астатус аԥсахра	Изменение статуса прокомментированного отчёта
Ҳшәыҳәоит, иалшәх акатегориа	Пожалуйста, выберите категорию
Ажәабжьқәа акыԥхьра аамҭала	Новости по времени публикации
Азгәаҭа «Исгәаԥхоит» ацҵара	Добавление отметки «Нравится»
Ари адныҳәаларатә цҳамҭоуп.	Это подозрительное сообщение.
Аҭаларазы арҵабыргра аҿыхра	Отключить подтверждение входа
Иашәырба ииашоу аҭел аномер	Введите верный номер телефона
Шәара шәалахәуп аицлабраҿы.	Вы уже участвуете в конкурсе.
Шәҩызцәеи шәазхьаԥшыҩцәеи ари абжьынҵамҭа рзынашьҭра	Поделиться аудиозаписью с вашими друзьями и подписчиками
Ари аԥенџьыр хҩоит секундқәак рашьҭахь.	Это окно закроется через несколько секунд.
Шәдаҟьа аанкылан аҳамҭа ахь анапынҵазы:	Аккаунт заблокирован за подпись к подарку:
ВКонтакте аҭоурыхтә цәаҳәа	Историческая лента ВКонтакте
Еиҳа ажәеиларккақәа арбара	Показать больше комментариев
Иашәырба атеқст аԥшранҵазы	Укажите текст для фотографии
Сдаҟьа ажәеиларкка арҭаӡом	Мою страницу не комментируют
Шәдаҟьа аанкылоуп егьырҭ ахархәаҩцәа ВКонтакте рахь лассы ихьымӡӷу ахымҩаԥгара ахьаашәырԥшуаз иахҟьаны.	Ваша страница заблокирована за систематическое оскорбительное поведение в адрес других пользователей ВКонтакте.
Шәдаҟьа аанкылан зыгәрагам ақәыӷәӷәарақәа аӡыргаратә лаҳәарақәа.	Аккаунт заблокирован за подозрительные клики на рекламные объявления.
Шәдаҟьа аанкылан игәрагам аиҩызарахь аҳәара иахҟьаны. Иаҳҳәап, аҳәара ари ахархәаҩ иахь:	Аккаунт заблокирован за подозрительные заявки в друзья. Например, за заявку этому пользователю:
Абжьқәа хәыда-ԥсада аиура	Получение голосов бесплатно
Апродуктқәа рыхкы арҿыцра	Обновление версий продуктов
Ари аҭыԥ ахсаалаҿы арбара	Показать это место на карте
Атранслиациа ахьӡ анышәҵа	Введите название трансляции
Аҭоурыхтә активра аарԥшра	Показать историю активности
Онлаин аилакрақәа рҿакра.	Включить онлайн сообщества.
Сеилакқәа рсиа збар зылшо	Кто видит список моих групп
Шәара альбомкгьы шәымаӡам	У вас нет ни одного альбома
Аилакра онлаин арцәара шәхашәмыршҭлан	Не забывайте выключать онлайн сообщества
Ахархәаҩ аусмҩаԥгақәа рахь ааԥхьара азин аимҭеит.	Пользователь запретил приглашать себя на мероприятия.
Шәара ииашаҵәҟьаны ишәҭахума ақәҿыҭрақәа нышәхыр? Ари аус аԥыхра ҟалаӡом.	Вы действительно хотите удалить оповещение? Отменить действие будет невозможно.
Ари ашьаҿа ашьҭахьҟа ишәзырхынҳәуам.	Отменить это действие будет невозможно.
Ацхыраара ахьӡала азҵаара ҿыц аԥҵара	Создать новый вопрос от имени поддержки
Шәхаҵкы, ианышәҵа аблокировка амзыз.	Пожалуйста, укажите причину блокировки.
Аԥошьҭатә ҭыӡҭыԥ аԥсахра	Изменение почтового адреса
Аԥшьқәа аус рыуразын иарбанзаалак ихарҭәаагоу афаилқәа аҭахӡам. Иазгәашәымҭан аԥшьқәа рыдцалара иҭажәгал афаил, шәкомпиутер авирус иашәырхьырц шәҭахымзар.	Для работы приложений не требуется никаких дополнительных файлов. Игнорируйте требования приложений скачать исполняемый файл, чтобы не заразить свой компьютер вирусом.
Аилазаара аҭоурых иауӡом аҭыԥаркра:	В историях сообществ нельзя размещать:
Изылшода аԥшранҵақәа рҿы сазгәаҭара	Кто может отмечать меня на фотографиях
Абжьылда аномер аԥсахра	Изменение номера телефона
Аилак аԥшранҵақәа зегьы	Все фотографии сообщества
Аилактә бжьынҵақәа рахь	К аудиозаписям сообщества
Аиԥыларазы агәаларшәара	Напоминание о мероприятии
Аиҭагара аҭоурых арбара	Показать историю перевода
Амини-ԥшьықәа ВКонтакте	Мини-приложения ВКонтакте
Амобилтә бжьылда аномер	Номер мобильного телефона
Афатә аалыҵқәа, арыжәтә	Продукты питания, напитки
Ацҳамҭақәа реиԥш арбара	Показать в виде сообщений
Иаҭахым арбара адаҟьаҿы	Не показывать на странице
Инарҭбааны аҭитә ахҳәаа	Подробное описание товара
Шәыцҳамҭа ВКонтакте аҿы	Ваше сообщество ВКонтакте
Аилакра ахьӡынҵа еиқәацәа иацҵоуп.	Сообщество добавлено в чёрный список.
Ари анҵамҭа шәҩызцәа заҵәык ирбоит	Эта запись видна только вашим друзьям
Шәдаҟьа аанкылоуп зыгәрагам аудио ахьаанашьҭуаз азыҳәан.	Аккаунт заблокирован за отправку подозрительных аудиозаписей.
Ари аилацәажәара ишеибгоу зегь анышәхырц шәҭахыҵәҟоума?	Вы действительно хотите удалить всю переписку в этой беседе?
Аилазааратә гәыԥ анаԥхгара аԥшьы азин аиуеит	Приложению будет доступно управление сообществом
Шәдаҟьа аанкылоуп арҩашьыга ахьышәҭиуаз азы.	Ваша страница заблокирована за продажу алкоголя.
Иҟаҵаз аҳәарала аҭауарқәа ԥшааӡам	По данному запросу товары не найдены
Шәажәеиларкка анышәҵа.	Введите ваш комментарий.
Адокумент асахьа ҭышәх	Сфотографируйте документ
Азхьаԥш амаҵура амаӡам	Ссылка не поддерживается
Аилак аҭитә ахә ршьеит	Оценили товар сообщества
Аиҿцәжәара еиԥш арбара	Показать в виде диалогов
Алахәцәа рхыԥхьаӡарала	По количеству участников
Афаил алхрахь ахынҳәра	Вернуться к выбору файла
Ашықәс ҿыц адныҳәалара	Поздравить с Новым годом
Иаԥхьоу еиԥш азгәаҭара	Отметить как прочитанные
Ишәгәаԥхаз аԥшранҵақәа	Понравившиеся фотографии
Ишәыдыргало аилакрақәа	Рекомендуемые сообщества
Ари адаҟьа априваттә рхиагақәа рыла иаркуп.	Данная страница скрыта настройками приватности.
Шәдаҟьа аанкылоуп апорнографиатә материалқәа аҭыԥыркра иахҟьаны.	Ваша страница заблокирована за размещение порнографических материалов.
Ажәамаӡа аҟны абжьажь ыҟамзароуп	Пароль не должен содержать пробелов
Дарбан аинтернет аҿы избо сдаҟьа	Кому в интернете видна моя страница
Изылшода сынҵамҭақәа рыхцәажәара	Кто может комментировать мои записи
Шәара ишәылшоит шәхаҭа шәгәаҭара	Вы можете просматривать только себя
Ацыԥхақәа реиҭагара 6-мш инареиҳаны иагоит	в среднем перевод ключей занимает более 6 дней
Азинмазаараҩ икабинеҭ	Кабинет правообладателя
Ақәратәи аҳәаакрақәа:	Возрастные ограничения:
Альбом ҿыц ахь ацҵара	Добавить в новый альбом
Амаҵурҭатә маҭәахәқәа	Кухонные принадлежности
Ари адаҟьантәи аныхра	Удалить с этой страницы
Архәҭа аномер ҭажәгал	Введите войсковую часть
Ахеллоуин адныҳәалара	Поздравить с Хеллоуином
Аҩызцәа рыхьзынҵақәак	Некоторые списки друзей
Еиҳа аҭҳәаақәа арбара	Показать больше каналов
Иашәырба аномер ахьыӡ	Введите название номера
Исзаанхеит азҵаарақәа	У меня остались вопросы
Рҽаҵарҩҩит адаҟьа ахь	Подписались на страницу
Шәыԥшранҵа ахә ршьеит	Оценили вашу фотографию
Шәдаҟьа аанкылан аконкурсқәеи акциақәеи рымҩаԥгаразы, аԥҟарақәа иахьрықәымшәоз азы.	Ваша страница заблокирована за проведение конкурсов или акций, не соответствующих правилам.
Иарбоу абжьылда анумер ахархәара ҟалаӡом.	Нельзя использовать указанный номер телефона.
Ахархәаҩ аҩызцәарҿы даанхоит, аха аҭоурыхқәа иарбахаӡом ажәабжьқәа рҿы.	Пользователь останется в друзьях, но истории не будут показываться в новостях.
Шәдаҟьа аанкылоуп мчылатәи аныррақәа рахь аапхьара иахҟьаны.	Ваша страница заблокирована за призывы к насильственным действиям.
Шәхатә дыррақәа аԥшьы анеирҭа амазаауеит	Приложению будут доступны ваши личные данные
Аилактә бжьынҵақәа рахь ацҵара	Добавить в аудиозаписи сообщества
Аҭел аномер ала аԥшаара аҿыхын	Поиск по номеру телефона выключен
Авидеонҵамҭа ԥшааӡам	Видеозапись не найдена
Адинхаҵаратә усбарҭа	Религиозное учреждение
Аиқәырхара анагӡареи	Сохранить и продолжить
Аицлабра ималагаӡацт	Конкурс ещё не начался
Ақәратәи аҳәаакрақәа	Возрастные ограничения
Анеирҭа цаԥха аԥҵара	Создание ключа доступа
Аԥшранҵаԥсахга аркра	Закрытие фоторедактора
Ашшра ахархәаҩ изкны	Жалоба на пользователя
Иацлараны иҟоу аԥшьы	Добавляемое приложение
Ацҳамҭа зышьҭхаӡом, избанзар аҵыхәтәантәи аамҭазы Шәара шәыҭӡамцаҿы мыцхәы ирацәаны иааныжьын ажәеиларккақәа.	Сообщение не может быть отправлено, так как на вашей стене было оставлено слишком много комментариев за последнее время.
Шәдаҟьа аартразы, ҳшәыҳәоит, ишьақәшәырӷәӷәа адаҟьа шәара ишышәтәу, нас ажәамаӡа шәыԥсах.	Чтобы разморозить страницу, мы просим Вас подтвердить, что Вы владелец страницы, и сменить пароль.
Аилазаараҿын иаҽыхуп аацҳара асаит аԥҟарақәа ахьеилаго азы.	Сообществу отключены сообщения в связи с нарушением Правил сайта.
Шәдаҟьа аанкылоуп ԥхашьара змам ақәранамӡақәа рсахьа ахьықәыргылахоз иахҟьаны.	Ваша страница заблокирована за размещение непристойных изображений несовершеннолетних.
Ирмаҷу акопиа аредакциа азура	Редактирование уменьшенной копии
Араҟа иааншәыжь Шәара шәыдқьан ахҳәаа.	Разместите здесь описание вашего магазина.
Иалхоу аԥшранҵақәа рҿы ари аҭыԥ арбара	Указать это место на выбранных фотографиях
Ааԥхьара мап ацәкра	Отклонить приглашение
Ажәеиларкка зышьҭра	Отправить комментарий
Ажәеиларкқәа арԥсра	Отключить комментарии
Аиасрақәа аԥшьы ахь	Переходы в приложение
Аиқәшәара аанкылоуп	Встреча заблокирована
Аилацәажәара ацҵара	Продолжить обсуждение
Алҵшәақәа рыхәаԥшра	Посмотреть результаты
Амузыкатә ҽаҵаҩҩра.	Музыкальная подписка.
- Атематика алхра -	- Выберите тематику -
Аҭӡамцаҿы акьыԥхьра	опубликовать на стене
Ахатәы азырхиарақәа	Настройки приватности
Иалышәх адныҳәалара	Выберите поздравление
Иацҵаз рҟнытә агара	Убрать из добавленных
Иашәырба шәымш иира	Укажите дату рождения
Иҭабуп шәыбжьы азы!	Спасибо за ваш голос!
Иҭабуп Шәыбжьы азы.	Спасибо за ваш голос.
Шәара ишәылшом иҭажәгларц иҿыцу афаилқәа, избанзар иҭажәгалаз аконтент аԥшәма иҟынтәи иазааит ашшԥхьыӡ.	Вы не сможете загружать новые файлы, поскольку на опубликованный вами контент поступила жалоба от правообладателя.
Абраузертә аацҳарақәа рҿыхра	Отключить оповещения в браузере
Азхьарԥш ахархәаҩ идаҟьа ахь	Ссылка на страницу пользователя
Азхьарԥш ашәырба шәдаҟьа ахь	Укажите ссылку на вашу страницу
Анҵамҭа шәҩызцәеи шәҽаҵаҩҩцәеи рҟынӡа азнагара	Поделиться записью с вашими друзьями и подписчиками
Игәнаҳгоит, аспамерцәа шәдаҟьа рхы иахьадурхәаз ауааҭрацәа алаларазы агәыԥқәа аӡыргареи агәыԥқәа реиӷьтәрази.	К сожалению, спамеры использовали Вашу страницу для массового вступления в группы в целях рекламы и раскрутки этих групп.
