russianEDM	Электроника
russianОбщий охват: общее количество человек, которые увидели запись в сообществе, новостной ленте, диалогах и так далее. Этот показатель учитывает пересечение органического, вирального и рекламного охвата.	Общий охват: общее количество человек, которые увидели запись в сообществе, новостной ленте, диалогах и так далее. Этот показатель учитывает пересечение органического, вирального и рекламного охвата.
russian1. Перейдите по ссылке под этой инструкцией.	1. Перейдите по ссылке под этой инструкцией.
russian2. Установите приложение «{name}» для участия в акции.	2. Установите приложение «{name}» для участия в акции.
russian3. После установки приложения вы получите {votes} ВКонтакте.	3. После установки приложения вы получите {votes} ВКонтакте.
russianВознаграждение предоставляется только тем пользователям, которые установили приложение по этой акции.	Вознаграждение предоставляется только тем пользователям, которые установили приложение по этой акции.
russianПожалуйста, не устанавливайте приложение, если оно вам не интересно. В случае быстрого удаления приложения доступ к специальным предложениям может быть ограничен.	Пожалуйста, не устанавливайте приложение, если оно вам не интересно. В случае быстрого удаления приложения доступ к специальным предложениям может быть ограничен.
russianСумму авторизационной транзакции Вы можете узнать:	Сумму авторизационной транзакции вы можете узнать:
russianобратившись в службу клиентской поддержки банка по телефону, указанному на обратной стороне Вашей карты. Сообщите оператору, что Вы только что произвели оплату в интернет-магазине, и, для подтверждения права на использование карты, Вам необходима информация о сумме транзакции. Вас попросят идентифицировать себя, после чего предоставят информацию.	обратившись в службу клиентской поддержки банка по телефону, указанному на обратной стороне вашей карты. Сообщите оператору, что вы только что произвели оплату в интернет-магазине, и, для подтверждения права на использование карты, вам необходима информация о сумме транзакции. Вас попросят идентифицировать себя, после чего предоставят информацию.
russianчерез систему удаленного банковского обслуживания интернет-банк/банк-клиент – в случае предоставления данной услуги банком-эмитентом;	через систему удаленного банковского обслуживания интернет-банк/банк-клиент – в случае предоставления данной услуги банком-эмитентом;
russianc помощью услуги SMS-информирования – в случае предоставления данной услуги банком-эмитентом.	c помощью услуги SMS-информирования – в случае предоставления данной услуги банком-эмитентом.
russianвстречается {prep_with} %s	встречается {prep_with} %s
russianпомолвлен {prep_with} %s/помолвлена {prep_with} %s	помолвлен {prep_with} %s/помолвлена {prep_with} %s
russianвлюблён {prep_into} %s/влюблена {prep_into} %s	влюблён {prep_into} %s/влюблена {prep_into} %s
russian1. Перейдите по ссылке из спецпредложения.	1. Перейдите по ссылке из спецпредложения.
russian2. Вступите в группу {name} для участия в акции.	2. Вступите в группу {name} для участия в акции.
russian3. После вступления вы получите {votes} ВКонтакте.	3. После вступления вы получите {votes} ВКонтакте.
russianВознаграждение предоставляется только тем, кто вступил в группу по этому специальному предложению.	Вознаграждение предоставляется только тем, кто вступил в группу по этому специальному предложению.
russianПожалуйста, не вступайте в группу, если содержание вам не интересно. В случае быстрого выхода из неё доступ к специальным предложениям может быть ограничен.	Пожалуйста, не вступайте в группу, если содержание вам не интересно. В случае быстрого выхода из неё доступ к специальным предложениям может быть ограничен.
russian1. Перейдите по ссылке из спецпредложения.	1. Перейдите по ссылке из спецпредложения.
russian2. Вступите во встречу {name} для участия в акции.	2. Вступите во встречу {name} для участия в акции.
russian3. После вступления Вы получите {votes} ВКонтакте.	3. После вступления вы получите {votes} ВКонтакте.
russianВознаграждение предоставляется только тем, кто вступил во встречу по этому специальному предложению.	Вознаграждение предоставляется только тем, кто вступил во встречу по этому специальному предложению.
russianПожалуйста, не вступайте, если содержание Вам не интересно. В случае быстрого выхода из встречи доступ к последующему выполнению специальных предложений ВКонтакте может быть ограничен.	Пожалуйста, не вступайте, если содержание вам не интересно. В случае быстрого выхода из встречи доступ к последующему выполнению специальных предложений ВКонтакте может быть ограничен.
russianВвод кода означает согласие на списание средств со счёта мобильного телефона и безоговорочное принятие условий оферты.	Ввод кода означает согласие на списание средств со счёта мобильного телефона и безоговорочное принятие условий оферты.
russianТранслировать музыку в статус	Транслировать музыку в статус
russianФотография должна иметь размер не меньше {width} точек в ширину и {height} точек в высоту.	Фотография должна иметь размер не меньше {width} точек в ширину и {height} точек в высоту.
russianКроме того, нельзя использовать фотографии, у которых одна из сторон в несколько раз превышает другую.	Кроме того, нельзя использовать фотографии, у которых одна из сторон в несколько раз превышает другую.
russianЗаключение договора	Заключение договора
russianВаша заявка на заключение договора была отклонена модератором.	Ваша заявка на заключение договора была отклонена модератором.
russianВаша заявка на заключение договора находится в рассмотрении.	Ваша заявка на заключение договора находится в рассмотрении.
russianПожалуйста, выберите приложения для вывода голосов.	Пожалуйста, выберите приложения для вывода голосов.
russianТранзакции	Транзакции
russianВыплаты	Выплаты
russianВаша заявка находится на повторном рассмотрении у модератора.	Ваша заявка находится на повторном рассмотрении у модератора.
russianКонтактный email	Контактный email
russianВаша заявка на заключение договора была одобрена модератором. Доступ к разделу будет открыт после заключения договора.	Ваша заявка на заключение договора была одобрена модератором. Доступ к разделу будет открыт после заключения договора.
russianКонтактный телефон	Контактный телефон
russianВы можете {link1}отвязать этот кошелёк{/link1} или {link2}привязать новый{/link2}.	Вы можете {link1}отвязать этот кошелёк{/link1} или {link2}привязать новый{/link2}.
russian{user} может читать в Новостях Ваши записи, которые открыты для всех.	{user} может читать в Новостях ваши записи, которые открыты для всех.
russianФотография должна иметь размер не меньше {min} точек и не больше {max} точек по каждой из сторон.	Фотография должна иметь размер не меньше {min} точек и не больше {max} точек по каждой из сторон.
russianКроме того, нельзя использовать фотографии, у которых одна из сторон в несколько раз превышает другую.	Кроме того, нельзя использовать фотографии, у которых одна из сторон в несколько раз превышает другую.
russianВы добавили {user} в чёрный список. Чтобы продолжить, необходимо убрать его из Вашего чёрного списка./Вы добавили {user} в чёрный список. Чтобы продолжить, необходимо убрать ее из Вашего чёрного списка.	Вы добавили {user} в чёрный список. Чтобы продолжить, необходимо убрать его из вашего чёрного списка./Вы добавили {user} в чёрный список. Чтобы продолжить, необходимо убрать ее из вашего чёрного списка.
russianДанные на Вашей странице были автоматически изменены,	Данные на вашей странице были автоматически изменены,
russianтак как личные страницы ВКонтакте не предназначены для рекламы.	так как личные страницы ВКонтакте не предназначены для рекламы.
russianПожалуйста, укажите настоящие имя и фамилию в {link_settings}разделе редактирования страницы{/link_settings}.	Пожалуйста, укажите настоящие имя и фамилию в {link_settings}разделе редактирования страницы{/link_settings}.
russianЕсли указать настоящие данные не получилось, {link_support}обратитесь в поддержку »{/link_support}	Если указать настоящие данные не получилось, {link_support}обратитесь в поддержку »{/link_support}
russianПоздравить с Пасхой	Поздравить с Пасхой
russianПожалуйста, {link}войдите{/link} на сайт или {link_reg}зарегистрируйтесь{/link_reg}, чтобы написать {user} сообщение.	Пожалуйста, {link}войдите{/link} на сайт или {link_reg}зарегистрируйтесь{/link_reg}, чтобы написать {user} сообщение.
russianОкончил ПТУ %s/Окончила ПТУ %s	Окончил ПТУ %s/Окончила ПТУ %s
russian{name1}{tag_contacts}, {contacts}{/tag_contacts}{uni}. Войдите на сайт или зарегистрируйтесь, чтобы связаться с {name2} или найти других Ваших друзей./{name1}{tag_contacts}, {contacts}{/tag_contacts}{uni}. Войдите на сайт или зарегистрируйтесь, чтобы связаться с {name2} или найти других Ваших друзей.	{name1}{tag_contacts}, {contacts}{/tag_contacts}{uni}. Войдите на сайт или зарегистрируйтесь, чтобы связаться с {name2} или найти других ваших друзей./{name1}{tag_contacts}, {contacts}{/tag_contacts}{uni}. Войдите на сайт или зарегистрируйтесь, чтобы связаться с {name2} или найти других ваших друзей.
russianЧтобы связаться с {user}, пожалуйста, {link}войдите{/link} или {link_reg}зарегистрируйтесь{/link_reg}.	Чтобы связаться с {user}, пожалуйста, {link}войдите{/link} или {link_reg}зарегистрируйтесь{/link_reg}.
russianВнимание! Вы покидаете режим просмотра от лица других пользователей. Этот раздел Вы увидите так, как видите его Вы.	Внимание! вы покидаете режим просмотра от лица других пользователей. Этот раздел вы увидите так, как видите его вы.
russianВы всегда сможете вернуть их на свою страницу в разделе {link}Сырхиагақәа{/link} на вкладке {link1}Приватность{/link1}.	Вы всегда сможете вернуть их на свою страницу в разделе {link}Мои Настройки{/link} на вкладке {link1}Приватность{/link1}.
russianПожалуйста, проверьте правильность сохранённой информации на Вашей странице:	Пожалуйста, проверьте правильность сохранённой информации на вашей странице:
russian{user} доступны все Ваши материалы, предназначенные для друзей.	{user} доступны все ваши материалы, предназначенные для друзей.
russianФотография в неподходящем формате.	Фотография в неподходящем формате.
russianСлишком маленькая фотография (минимальный размер – {limit} пикселей)	Слишком маленькая фотография (минимальный размер – {limit} пикселей)
russianЗагрузка изображений в данный момент недоступна. Попробуйте повторить операцию позже.	Загрузка изображений в данный момент недоступна. Попробуйте повторить операцию позже.
russianВы пытаетесь загрузить слишком маленькую фотографию.	Вы пытаетесь загрузить слишком маленькую фотографию.
russianВыберите фотографию большего размера и повторите попытку.	Выберите фотографию большего размера и повторите попытку.
russianПосмотреть пример объявления на странице	Посмотреть пример объявления на странице
russianПреимущества таргетированных объявлений	Преимущества таргетированных объявлений
russianВы обращаетесь только к той аудитории, которая Вам необходима.	Вы обращаетесь только к той аудитории, которая вам необходима.
russianВы выбираете – платить за уникальные переходы или за показы.	Вы выбираете – платить за уникальные переходы или за показы.
russianВы можете изменить дизайн и текст объявлений в любой момент.	Вы можете изменить дизайн и текст объявлений в любой момент.
russianВы получаете подробную статистику эффективности кампаний.	Вы получаете подробную статистику эффективности кампаний.
russianвлюблена	влюблена
russianвлюблён	влюблён
russianПожалуйста, выберите получателя.	Пожалуйста, выберите получателя.
russianСообщества с VK Donut	Сообщества с VK Donut
russianНайдите новых интересных авторов	Найдите новых интересных авторов
russianКолесо фортуны уже раздаёт призы! Узнайте, что достанется Вам.	Колесо фортуны уже раздаёт призы! Узнайте, что достанется вам.
russianРозыгрыш призов скоро начнется	Розыгрыш призов скоро начнется
russianПромокод VKAPP — 20% скидки на любой заказ в Еде ВКонтакте	Промокод VKAPP — 20% скидки на любой заказ в Еде ВКонтакте
russianПромокод VKAPP — 20% скидки на любой заказ в Еде ВКонтакте	Промокод VKAPP — 20% скидки на любой заказ в Еде ВКонтакте
russianКак развлечь детей и спокойно заняться делами? Читайте советы родителям на удалёнке.	Как развлечь детей и спокойно заняться делами? Читайте советы родителям на удалёнке.
russianЧем занять детей во время карантина? Читайте советы родителям на удалёнке.	Чем занять детей во время карантина? Читайте советы родителям на удалёнке.
russianЧитайте достоверную информацию о коронавирусе в специальной новостной ленте.	Читайте достоверную информацию о коронавирусе в специальной новостной ленте.
russianМы собрали для вас актуальную и проверенную информацию о коронавирусе. Будьте в курсе и не болейте!	Мы собрали для вас актуальную и проверенную информацию о коронавирусе. Будьте в курсе и не болейте!
russianЗнания — лучшая защита!	Знания — лучшая защита!
russianНепривычно работать дома?	Непривычно работать дома?
russian«Тихо, я работаю!»	«Тихо, я работаю!»
russianХочется в театр, но он на карантине?	Хочется в театр, но он на карантине?
russianСобрали для вас ссылки на спектакли, мастер-классы и лекции известных режиссёров.	Собрали для вас ссылки на спектакли, мастер-классы и лекции известных режиссёров.
russian«Выбрось всё из головы — включи музыку!»	«Выбрось всё из головы — включи музыку!»
russianСмотрите онлайн-концерт Ёлки прямо сейчас ВКонтакте	Смотрите онлайн-концерт Ёлки прямо сейчас ВКонтакте
russianСмотрите награждение самых популярных музыкантов в первой музыкальной премии ВКонтакте	Смотрите награждение самых популярных музыкантов в первой музыкальной премии ВКонтакте
russianСледите за фестивалем ВКонтакте в прямом эфире и не пропустите выступления любимых артистов, блогеров и спикеров.	Следите за фестивалем ВКонтакте в прямом эфире и не пропустите выступления любимых артистов, блогеров и спикеров.
russianVK Fest 5 в разгаре!	VK Fest 5 в разгаре!
russianLittle Big, Элджей, ХЛЕБ, Тима Белорусских, Егор Крид, Николай Соболев и ещё сто музыкантов, спикеров, стендаперов и блогеров!	Little Big, Элджей, ХЛЕБ, Тима Белорусских, Егор Крид, Николай Соболев и ещё сто музыкантов, спикеров, стендаперов и блогеров!
russianLittle Big, Элджей, ХЛЕБ, Тима Белорусских, Егор Крид, Николай Соболев и ещё сто музыкантов, спикеров, стендаперов и блогеров!	Little Big, Элджей, ХЛЕБ, Тима Белорусских, Егор Крид, Николай Соболев и ещё сто музыкантов, спикеров, стендаперов и блогеров!
russianLittle Big, Элджей, ХЛЕБ, Тима Белорусских, Егор Крид, Николай Соболев и ещё сто музыкантов, спикеров, стендаперов и блогеров!	Little Big, Элджей, ХЛЕБ, Тима Белорусских, Егор Крид, Николай Соболев и ещё сто музыкантов, спикеров, стендаперов и блогеров!
russianLittle Big, Элджей, ХЛЕБ, Тима Белорусских, Егор Крид, Николай Соболев и ещё сто музыкантов, спикеров, стендаперов и блогеров!	Little Big, Элджей, ХЛЕБ, Тима Белорусских, Егор Крид, Николай Соболев и ещё сто музыкантов, спикеров, стендаперов и блогеров!
russianLittle Big, Элджей, ХЛЕБ, Тима Белорусских, Егор Крид, Николай Соболев и ещё сто музыкантов, спикеров, стендаперов и блогеров!	Little Big, Элджей, ХЛЕБ, Тима Белорусских, Егор Крид, Николай Соболев и ещё сто музыкантов, спикеров, стендаперов и блогеров!
russianLittle Big, Элджей, ХЛЕБ, Тима Белорусских, Егор Крид, Николай Соболев и ещё сто музыкантов, спикеров, стендаперов и блогеров!	Little Big, Элджей, ХЛЕБ, Тима Белорусских, Егор Крид, Николай Соболев и ещё сто музыкантов, спикеров, стендаперов и блогеров!
russianLittle Big, Элджей, ХЛЕБ, Тима Белорусских, Егор Крид, Николай Соболев и ещё сто музыкантов, спикеров, стендаперов и блогеров!	Little Big, Элджей, ХЛЕБ, Тима Белорусских, Егор Крид, Николай Соболев и ещё сто музыкантов, спикеров, стендаперов и блогеров!
russianLittle Big, Элджей, ХЛЕБ, Тима Белорусских, Егор Крид, Николай Соболев и ещё сто музыкантов, спикеров, стендаперов и блогеров!	Little Big, Элджей, ХЛЕБ, Тима Белорусских, Егор Крид, Николай Соболев и ещё сто музыкантов, спикеров, стендаперов и блогеров!
russianLittle Big, Элджей, ХЛЕБ, Тима Белорусских, Егор Крид, Николай Соболев и ещё сто музыкантов, спикеров, стендаперов и блогеров!	Little Big, Элджей, ХЛЕБ, Тима Белорусских, Егор Крид, Николай Соболев и ещё сто музыкантов, спикеров, стендаперов и блогеров!
russianЭлджей, ХЛЕБ, Big Baby Tape, ATL, Тима Белорусских, MARKUL, OBLADAET и ещё сто музыкантов, спикеров, стендаперов и блогеров!	Элджей, ХЛЕБ, Big Baby Tape, ATL, Тима Белорусских, MARKUL, OBLADAET и ещё сто музыкантов, спикеров, стендаперов и блогеров!
russianZivert, Макс Барских, Егор Крид, Feduk, Тима Белорусских, Елена Темникова и ещё сто музыкантов, спикеров, стендаперов и блогеров!	Zivert, Макс Барских, Егор Крид, Feduk, Тима Белорусских, Елена Темникова и ещё сто музыкантов, спикеров, стендаперов и блогеров!
russianLittle Big, Елена Темникова, Yellow Claw, ЛАУД, СБПЧ и ещё сто музыкантов, спикеров и блогеров!	Little Big, Елена Темникова, Yellow Claw, ЛАУД, СБПЧ и ещё сто музыкантов, спикеров и блогеров!
russianНе пропустите главные выходные лета!	Не пропустите главные выходные лета!
russianMaryana Ro, Николай Соболев, YanGo, Дневник Хача, Utopia Show и ещё сто музыкантов, спикеров и блогеров!	Maryana Ro, Николай Соболев, YanGo, Дневник Хача, Utopia Show и ещё сто музыкантов, спикеров и блогеров!
russianНе пропустите главные выходные лета!	Не пропустите главные выходные лета!
russianЭлджей, ХЛЕБ, Big Baby Tape, ATL, Тима Белорусских, MARKUL, OBLADAET и ещё сто музыкантов, спикеров, стендаперов и блогеров!	Элджей, ХЛЕБ, Big Baby Tape, ATL, Тима Белорусских, MARKUL, OBLADAET и ещё сто музыкантов, спикеров, стендаперов и блогеров!
russianZivert, Макс Барских, Егор Крид, Feduk, Тима Белорусских, Елена Темникова и ещё сто музыкантов, спикеров, стендаперов и блогеров!	Zivert, Макс Барских, Егор Крид, Feduk, Тима Белорусских, Елена Темникова и ещё сто музыкантов, спикеров, стендаперов и блогеров!
russianLittle Big, Yellow Claw, ЛАУД, СБПЧ и ещё сто музыкантов, спикеров, стендаперов и блогеров!	Little Big, Yellow Claw, ЛАУД, СБПЧ и ещё сто музыкантов, спикеров, стендаперов и блогеров!
russianНе пропустите главные выходные лета!	Не пропустите главные выходные лета!
russianMaryana Ro, Николай Соболев, YanGo, Дневник Хача, Utopia Show и ещё сто музыкантов, спикеров и блогеров!	Maryana Ro, Николай Соболев, YanGo, Дневник Хача, Utopia Show и ещё сто музыкантов, спикеров и блогеров!
russianНе пропустите главные выходные лета!	Не пропустите главные выходные лета!
russianВсё для детей на VK Fest 5: песни, танцы, любимые герои, игры и прочие развлечения — никому не будет скучно!	Всё для детей на VK Fest 5: песни, танцы, любимые герои, игры и прочие развлечения — никому не будет скучно!
russianLittle Big, Элджей, Тима Белорусских, Николай Соболев — и ещё 100 артистов и блогеров ждут вас в городе на Неве этим летом!	Little Big, Элджей, Тима Белорусских, Николай Соболев — и ещё 100 артистов и блогеров ждут вас в городе на Неве этим летом!
russian20, 21 июля — VK Fest 5!	20, 21 июля — VK Fest 5!
russianНочные Снайперы, Дельфин, The Hatters, Ocean Jet и другие любимые артисты.	Ночные Снайперы, Дельфин, The Hatters, Ocean Jet и другие любимые артисты.
russianНе пропустите главные выходные лета!	Не пропустите главные выходные лета!
russianНочные Снайперы, Дельфин, The Hatters, Ocean Jet и другие любимые артисты.	Ночные Снайперы, Дельфин, The Hatters, Ocean Jet и другие любимые артисты.
russianНе пропустите главные выходные лета!	Не пропустите главные выходные лета!
russianVK Fest 5 уже сегодня!	VK Fest 5 уже сегодня!
russian20, 21 июля — VK Fest 5!	20, 21 июля — VK Fest 5!
russianСамое время строить планы. Дайте себе обещание на 2019 год и расскажите о нём друзьям!	Самое время строить планы. Дайте себе обещание на 2019 год и расскажите о нём друзьям!
russianУзнайте, насколько Вы близки к звёздам	Узнайте, насколько вы близки к звёздам
russianПроверьте теорию рукопожатий	Проверьте теорию рукопожатий
russianЛента FIFA World Cup будет здесь	Лента FIFA World Cup будет здесь
russianЛента FIFA World Cup будет здесь	Лента FIFA World Cup будет здесь
russianЛента FIFA World Cup будет здесь	Лента FIFA World Cup будет здесь
russianЛента FIFA World Cup будет здесь	Лента FIFA World Cup будет здесь
russianЛента FIFA World Cup будет здесь	Лента FIFA World Cup будет здесь
russianЛента FIFA World Cup будет здесь	Лента FIFA World Cup будет здесь
russianЛента FIFA World Cup будет здесь	Лента FIFA World Cup будет здесь
russianЛента FIFA World Cup будет здесь	Лента FIFA World Cup будет здесь
russianЛента FIFA World Cup будет здесь	Лента FIFA World Cup будет здесь
russianЛента FIFA World Cup будет здесь	Лента FIFA World Cup будет здесь
russianЛента FIFA World Cup будет здесь	Лента FIFA World Cup будет здесь
russianЛента FIFA World Cup будет здесь	Лента FIFA World Cup будет здесь
russianЛента FIFA World Cup будет здесь	Лента FIFA World Cup будет здесь
russianЛента FIFA World Cup будет здесь	Лента FIFA World Cup будет здесь
russian#ЧМ2018 Нигерия — Аргентина	#ЧМ2018 Нигерия — Аргентина
russianНигерия — Аргентина	Нигерия — Аргентина
russian#ЧМ2018 Сербия — Бразилия	#ЧМ2018 Сербия — Бразилия
russianСербия — Бразилия	Сербия — Бразилия
russian#ЧМ2018 Бельгия — Англия	#ЧМ2018 Бельгия — Англия
russianБельгия — Англия	Бельгия — Англия
russian#ЧМ2018 Франция — Аргентина	#ЧМ2018 Франция — Аргентина
russianФранция — Аргентина	Франция — Аргентина
russian#ЧМ2018 Уругвай — Португалия	#ЧМ2018 Уругвай — Португалия
russianУругвай — Португалия	Уругвай — Португалия
russian#ЧМ2018 Хорватия — Дания	#ЧМ2018 Хорватия — Дания
russianХорватия — Дания	Хорватия — Дания
russian#ЧМ2018 Бразилия — Мексика	#ЧМ2018 Бразилия — Мексика
russianБразилия — Мексика	Бразилия — Мексика
russian#ЧМ2018 Бельгия — Япония	#ЧМ2018 Бельгия — Япония
russianБельгия — Япония	Бельгия — Япония
russian#ЧМ2018 Швеция — Швейцария	#ЧМ2018 Швеция — Швейцария
russianШвеция — Швейцария	Швеция — Швейцария
russian#ЧМ2018 Колумбия — Англия	#ЧМ2018 Колумбия — Англия
russianКолумбия — Англия	Колумбия — Англия
russian#ЧМ2018 Уругвай — Франция	#ЧМ2018 Уругвай — Франция
russianУругвай — Франция	Уругвай — Франция
russianБразилия — Бельгия	Бразилия — Бельгия
russian#ЧМ2018 Бразилия — Бельгия	#ЧМ2018 Бразилия — Бельгия
russian#ЧМ2018 Швеция — Англия	#ЧМ2018 Швеция — Англия
russianШвеция — Англия	Швеция — Англия
russianДо VK Fest остался %s день/До VK Fest осталось %s дня/До VK Fest осталось %s дней	До VK Fest остался %s день/До VK Fest осталось %s дня/До VK Fest осталось %s дней
russian#ЧМ2018 Франция — Бельгия	#ЧМ2018 Франция — Бельгия
russianФранция — Бельгия	Франция — Бельгия
russian#ЧМ2018 Хорватия — Англия	#ЧМ2018 Хорватия — Англия
russianХорватия — Англия	Хорватия — Англия
russian#ЧМ2018 Матч за 3-е место.	#ЧМ2018 Матч за 3-е место.
russian#ЧМ2018 Финал. Франция — Хорватия	#ЧМ2018 Финал. Франция — Хорватия
russian#ЧМ2018 Матч за 3-е место.	#ЧМ2018 Матч за 3-е место.
russianФинал. Франция — Хорватия	Финал. Франция — Хорватия
russianИда Галич, Марьяна Ро, Катя Клэп и другие популярные блогеры. Вас ждёт море развлечений и интерактивных площадок!	Ида Галич, Марьяна Ро, Катя Клэп и другие популярные блогеры. Вас ждёт море развлечений и интерактивных площадок!
russianВсё для детей на VK Fest: мастер-классы, угощения и развлечения для любого возраста!	Всё для детей на VK Fest: мастер-классы, угощения и развлечения для любого возраста!
russianОльга Бузова, Элджей, Feduk, Чайф, Пошлая Молли, Ногу Свело! и десятки артистов и блогеров.	Ольга Бузова, Элджей, Feduk, Чайф, Пошлая Молли, Ногу Свело! и десятки артистов и блогеров.
russianА также море развлечений и интерактивных площадок!	А также море развлечений и интерактивных площадок!
russianВсего 4 часа на Сапсане! Ольга Бузова, Элджей, Feduk, Чайф, Пошлая Молли: десятки популярных артистов и блогеров. Вас ждёт море незабываемых развлечений!	Всего 4 часа на Сапсане! Ольга Бузова, Элджей, Feduk, Чайф, Пошлая Молли: десятки популярных артистов и блогеров. Вас ждёт море незабываемых развлечений!
russianЭлджей, Feduk, Чайф, Пошлая Молли: десятки популярных артистов и блогеров. Вас ждёт море развлечений и интерактивных площадок!	Элджей, Feduk, Чайф, Пошлая Молли: десятки популярных артистов и блогеров. Вас ждёт море развлечений и интерактивных площадок!
russianЭлджей, Feduk, Чайф, Пошлая Молли, Ногу Свело!: десятки популярных артистов и блогеров. Вас ждёт море развлечений и интерактивных площадок!	Элджей, Feduk, Чайф, Пошлая Молли, Ногу Свело!: десятки популярных артистов и блогеров. Вас ждёт море развлечений и интерактивных площадок!
russianЭлджей, Feduk, Чайф, Пошлая Молли, Ногу Свело!: десятки популярных артистов и блогеров. Вас ждёт море развлечений и интерактивных площадок!	Элджей, Feduk, Чайф, Пошлая Молли, Ногу Свело!: десятки популярных артистов и блогеров. Вас ждёт море развлечений и интерактивных площадок!
russianЭлджей, Feduk, Чайф, Пошлая Молли, Ногу Свело!: десятки популярных артистов и блогеров. Вас ждёт море развлечений и интерактивных площадок!	Элджей, Feduk, Чайф, Пошлая Молли, Ногу Свело!: десятки популярных артистов и блогеров. Вас ждёт море развлечений и интерактивных площадок!
russianЭлджей, Feduk, Чайф, Пошлая Молли, Ногу Свело! и десятки артистов. Не пропусти выходные на берегу залива в отличной компании!	Элджей, Feduk, Чайф, Пошлая Молли, Ногу Свело! и десятки артистов. Не пропусти выходные на берегу залива в отличной компании!
russianЭлджей, Feduk, Чайф, Пошлая Молли, Ногу Свело! Вас ждёт море развлечений и интерактивных площадок!	Элджей, Feduk, Чайф, Пошлая Молли, Ногу Свело! Вас ждёт море развлечений и интерактивных площадок!
russianОльга Бузова, Элджей, Feduk, Чайф, Пошлая Молли, Ногу Свело! и десятки артистов. А также сотни интерактивных площадок, море развлечений, блогеры и спикеры!	Ольга Бузова, Элджей, Feduk, Чайф, Пошлая Молли, Ногу Свело! и десятки артистов. А также сотни интерактивных площадок, море развлечений, блогеры и спикеры!
russianВас ждут Ольга Бузова, Элджей, Feduk, Чайф, Пошлая Молли, Ногу Свело! и десятки артистов! А также сотни интерактивных площадок, море развлечений, блогеры и спикеры!	Вас ждут Ольга Бузова, Элджей, Feduk, Чайф, Пошлая Молли, Ногу Свело! и десятки артистов! А также сотни интерактивных площадок, море развлечений, блогеры и спикеры!
russianОльга Бузова, Элджей, Feduk, Чайф, Ногу Свело! и десятки артистов! А также спортивные активности, развлечения, видеоигры и общение с блогерами.	Ольга Бузова, Элджей, Feduk, Чайф, Ногу Свело! и десятки артистов! А также спортивные активности, развлечения, видеоигры и общение с блогерами. 
russianЭлджей, Feduk, Чайф, Пошлая Молли, Ногу Свело! и десятки артистов. А также спортивные активности, развлечения, видеоигры и общение с блогерами!	Элджей, Feduk, Чайф, Пошлая Молли, Ногу Свело! и десятки артистов. А также спортивные активности, развлечения, видеоигры и общение с блогерами!
